,SWK
% Above Low,0.6761
% Held by Institutions,0.8652
52-Wk Range,['70.00 - 173.67']
Annual Dividend $,2.76
Annual Dividend %,0.025099999999999997
Ask,166.0
Ask Size,1800.0
B/A Ratio,0.5555555555555556
B/A Size,1000x1800
Beta,1.5
Bid,111.0
Bid Size,1000.0
Closing Price,117.33
Day Change $,7.35
Day Change %,0.0668
Day High,117.5
Day Low,111.83
Dividend Pay Date,2020-06-16 00:00:00
"EPS (TTM, GAAP)",6.11
Ex-dividend,2020-06-01 00:00:00
Ex-dividend Date,06/01/20
Historical Volatility,0.6020000000000001
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,18.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.2
Prev Close,109.98
Short Interest,0.0325
Today's Open,112.0
Volume,3055612.0
Volume 10-day Avg,2431129.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.5192307692307693
Growth 1yr High Est,-0.259171597633136
Growth 1yr Consensus Est,-0.38920118343195265
Growth 2yr Low Est,-0.09586538461538469
Growth 2yr High Est,0.05012666124732973
Growth 2yr Consensus Est,-0.02286936168402748
Growth 5yr Low Est,-0.015655084107428302
Growth 5yr High Est,0.05638354619564698
Growth 5yr Consensus Est,0.020364231044109338
Growth 5yr Actual/Est,0.014968168351871619
Growth 3yr Historic,0.03115864454234779
Price/Earnings (TTM),19.19676
Price/Sales (TTM),1.2701
Price/Book (MRQ),2.41647
Price/Cash Flow (TTM),12.08886
5yr Low,70.0
5yr High,176.62
5yr Avg Return,0.06786666666666666
EPS Growth 5yr,0.0341827
Revenue Growth 5yr,0.049578199999999996
Dividend Growth 5yr,0.0576616
Short Int Current Month,4988015.0
Short Int Prev Month,4478731.0
Short Int Pct of Float,0.0324755
Days to Cover,2.78791
Float,153.5894
Shares Outstanding,154.1271
Institutions Holding Shares,1018.0
FCF Growth 5yr,0.5159867763640145
"Price/Earnings (TTM, GAAP)",19.2
"PEG Ratio (TTM, GAAP)",2.33
Gross Profit Margin (TTM),0.3347
Operating Profit Margin (TTM),0.0929
Net Profit Margin (TTM),0.0655
Annual Dividend Yield,0.0235
Dividend Change %,0.04650000000000001
"Dividend Growth Rate, 3 Years",0.0611
EPS Growth (MRQ),-0.3432
EPS Growth (TTM),0.1809
Revenue Growth (MRQ),-0.1574
Revenue Growth (TTM),0.009300000000000001
Return On Equity (TTM),0.12560000000000002
Return On Assets (TTM),0.042
Return On Investment (TTM),0.056100000000000004
Revenue Per Employee (TTM),239544.0
Total Debt/Total Capital (MRQ),0.3962
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),0.59
Interest Coverage (MRQ),4.36
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,4
theStreet,hold
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-05-01 00:00:00
theStreet since,2020-03-23 00:00:00
ford since,2019-07-26 00:00:00
creditSuisse since,
