,A
% Below High,0.1206
% Held by Institutions,0.8499
52-Wk Range,['61.13 - 90.64']
Annual Dividend $,0.72
Annual Dividend %,0.0092
Ask,81.8
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,78.6
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,79.71
Day Change $,1.21
Day Change %,0.0154
Day High,80.33
Day Low,79.19
Dividend Pay Date,2020-04-22 00:00:00
"EPS (TTM, GAAP)",2.42
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.38
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,24.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.4
Prev Close,78.5
Short Interest,0.015700000000000002
Today's Open,79.67
Volume,2255008.0
Volume 10-day Avg,1715480.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.1368078175895765
Growth 1yr High Est,0.13225806451612887
Growth 1yr Consensus Est,-0.0022748765367238133
Growth 2yr Low Est,0.04291684592219297
Growth 2yr High Est,0.13308059920963144
Growth 2yr Consensus Est,0.08799872256591221
Growth 5yr Low Est,0.09923397245572188
Growth 5yr High Est,0.14212205766832559
Growth 5yr Consensus Est,0.12067801506202373
Growth 5yr Actual/Est,0.11105506318118799
Growth 3yr Historic,0.07422468258307519
Price/Earnings (TTM),32.40334
Price/Sales (TTM),4.6424
Price/Book (MRQ),5.0196
Price/Cash Flow (TTM),23.66858
5yr Low,33.12
5yr High,90.64
5yr Avg Return,0.1275666666666667
EPS Growth 5yr,0.3745425
Revenue Growth 5yr,0.0498623
Dividend Growth 5yr,0.0443394
Short Int Current Month,4851353.0
Short Int Prev Month,4767556.0
Short Int Pct of Float,0.0157313
Days to Cover,2.41083
Float,308.5089
Shares Outstanding,309.6514
Institutions Holding Shares,1048.0
FCF Growth 5yr,-0.02972508429574001
"Price/Earnings (TTM, GAAP)",32.4
"PEG Ratio (TTM, GAAP)",4.21
Gross Profit Margin (TTM),0.5393
Operating Profit Margin (TTM),0.17300000000000001
Net Profit Margin (TTM),0.1459
Annual Dividend Yield,0.0092
Dividend Change %,0.10710000000000001
"Dividend Growth Rate, 3 Years",0.1294
EPS Growth (MRQ),0.0122
EPS Growth (TTM),-0.3246
Revenue Growth (MRQ),-0.0073
Revenue Growth (TTM),0.0499
Return On Equity (TTM),0.15460000000000002
Return On Assets (TTM),0.0828
Return On Investment (TTM),0.09880000000000001
Revenue Per Employee (TTM),321227.0
Total Debt/Total Capital (MRQ),0.3368
Change in Debt/Total Capital Quarter over Quarter,0.0029
Quick Ratio (MRQ),1.27
Interest Coverage (MRQ),12.89
newConstructs,3
researchTeam,reduce
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2016-03-28 00:00:00
cfra since,2013-08-15 00:00:00
ford since,2020-01-10 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
