,CERN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",41.63,-564.38,Valuation,-0.07376235869449663
Price/Sales (TTM),3.57,33.3,Valuation,0.10720720720720721
Price/Book (MRQ),5.28,10.85,Valuation,0.48663594470046084
"PEG Ratio (TTM, GAAP)",2.79,70.81,Valuation,0.039401214517723486
Gross Profit Margin (TTM),0.8124,0.6926000000000001,Profitability,1.172971412070459
Operating Profit Margin (TTM),0.1017,0.0282,Profitability,3.606382978723404
Net Profit Margin (TTM),0.0893,0.0115,Profitability,7.765217391304349
Annual Dividend Yield,0.010700000000000001,0.0026000000000000003,Dividend,4.115384615384615
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0009,Dividend,
EPS Growth (MRQ),-0.0385,-0.5397,Gowth rates,0.07133592736705578
EPS Growth (TTM),-0.16260000000000002,-0.0797,Gowth rates,2.0401505646173153
Revenue Growth (MRQ),-0.0211,0.30760000000000004,Gowth rates,-0.06859557867360207
Revenue Growth (TTM),0.046,0.2798,Gowth rates,0.16440314510364545
Return On Equity (TTM),0.1135,0.0371,Effectiveness,3.059299191374663
Return On Assets (TTM),0.0743,0.0196,Effectiveness,3.7908163265306127
Return On Investment (TTM),0.0867,0.04820000000000001,Effectiveness,1.7987551867219915
Revenue Per Employee (TTM),208557.0,264042.0,Effectiveness,0.7898629763446724
Total Debt/Total Capital (MRQ),0.25730000000000003,0.2082,Financial strength,1.2358309317963498
Change in Debt/Total Capital Quarter over Quarter,0.0217,0.005200000000000001,Financial strength,4.1730769230769225
Quick Ratio (MRQ),1.9,1.43,Financial strength,1.3286713286713288
Interest Coverage (MRQ),,3.07,Financial strength,
