,CERN
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.045112781954887105
Growth 1yr High Est,0.08208955223880587
Growth 1yr Consensus Est,0.06360116709684649
Growth 2yr Low Est,0.08370747011413426
Growth 2yr High Est,0.13759650025733394
Growth 2yr Consensus Est,0.1106519851857341
Growth 5yr Low Est,0.06864128649739637
Growth 5yr High Est,0.09099206077645089
Growth 5yr Consensus Est,0.07981667363692363
Growth 5yr Actual/Est,0.08800122319266157
Growth 3yr Historic,0.030822328931572662
