,CERN
% Below High,0.1502
% Held by Institutions,0.8351999999999999
52-Wk Range,['53.08 - 80.90']
Annual Dividend $,0.72
Annual Dividend %,0.010700000000000001
Ask,71.65
Ask Size,200.0
Ask close,68.83
B/A Ratio,33.5
B/A Size,6700x200
Beta,0.9
Bid,66.28
Bid Size,6700.0
Bid close,68.65
Change Since Close,0.00| |(0.00%)
Closing Price,68.75
Day Change $,1.76
Day Change %,0.0263
Day High,68.93
Day Low,67.37
Dividend Pay Date,2020-04-17 00:00:00
"EPS (TTM, GAAP)",1.61
Ex-dividend,2020-04-02 00:00:00
Ex-dividend Date,04/02/20
Historical Volatility,0.277
Last (size),1200.0
Last (time),3:59p ET 05/08/20
Last Trade,68.75
Market Cap,20.9B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",41.63
Prev Close,66.99
Short Interest,0.0421
Today's Open,68.37
Volume,1675070.0
Volume 10-day Avg,2201734.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.045112781954887105
Growth 1yr High Est,0.08208955223880587
Growth 1yr Consensus Est,0.06360116709684649
Growth 2yr Low Est,0.08370747011413426
Growth 2yr High Est,0.13759650025733394
Growth 2yr Consensus Est,0.1106519851857341
Growth 5yr Low Est,0.06864128649739637
Growth 5yr High Est,0.09099206077645089
Growth 5yr Consensus Est,0.07981667363692363
Growth 5yr Actual/Est,0.08800122319266157
Growth 3yr Historic,0.030822328931572662
Price/Earnings (TTM),41.62679
Price/Sales (TTM),3.56784
Price/Book (MRQ),5.27619
Price/Cash Flow (TTM),16.9291
5yr Low,47.01
5yr High,80.9
5yr Avg Return,0.04044999999999999
EPS Growth 5yr,0.019077
Revenue Growth 5yr,0.108402
Dividend Growth 5yr,
Short Int Current Month,12317491.0
Short Int Prev Month,10978404.0
Short Int Pct of Float,0.0420897
Days to Cover,6.26084
Float,292.5392
Shares Outstanding,304.3486
Institutions Holding Shares,1055.0
FCF Growth 5yr,0.050842830950421386
"Price/Earnings (TTM, GAAP)",41.63
"PEG Ratio (TTM, GAAP)",2.79
Gross Profit Margin (TTM),0.8124
Operating Profit Margin (TTM),0.1017
Net Profit Margin (TTM),0.0893
Annual Dividend Yield,0.010700000000000001
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0385
EPS Growth (TTM),-0.16260000000000002
Revenue Growth (MRQ),-0.0211
Revenue Growth (TTM),0.046
Return On Equity (TTM),0.1135
Return On Assets (TTM),0.0743
Return On Investment (TTM),0.0867
Revenue Per Employee (TTM),208557.0
Total Debt/Total Capital (MRQ),0.25730000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0217
Quick Ratio (MRQ),1.9
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
cfra,3
theStreet,buy
ford,3
marketEdge opinion,neutralfromlong
marketEdge,-2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
cfra since,2019-07-25 00:00:00
theStreet since,2017-04-04 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
