,AMP
% Above Low,0.5699000000000001
% Held by Institutions,0.8611
52-Wk Range,['80.01 - 180.85']
Annual Dividend $,4.16
Annual Dividend %,0.0342
Ask,143.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,125.9
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,125.61
Day Change $,3.88
Day Change %,0.0319
Day High,127.25
Day Low,122.49
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",27.0
Ex-dividend,2020-05-15 00:00:00
Ex-dividend Date,05/15/20
Historical Volatility,0.6609999999999999
Last (size),88.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,15.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.51
Prev Close,121.73
Short Interest,0.0208
Today's Open,124.46
Volume,872799.0
Volume 10-day Avg,954663.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.06504065040650397
Growth 1yr High Est,0.10400000000000009
Growth 1yr Consensus Est,0.01947967479674806
Growth 2yr Low Est,-0.01621597737716507
Growth 2yr High Est,0.11944704570791531
Growth 2yr Consensus Est,0.05161553416537512
Growth 5yr Low Est,-0.004833640090523857
Growth 5yr High Est,0.10934539418954858
Growth 5yr Consensus Est,0.052255877049512366
Growth 5yr Actual/Est,0.08761548580295683
Growth 3yr Historic,0.07381195523741257
Price/Earnings (TTM),4.50773
Price/Sales (TTM),1.17284
Price/Book (MRQ),2.25416
Price/Cash Flow (TTM),9.15533
5yr Low,76.0
5yr High,183.9
5yr Avg Return,0.06344999999999999
EPS Growth 5yr,0.1085944
Revenue Growth 5yr,0.0094802
Dividend Growth 5yr,0.11010310000000001
Short Int Current Month,2551388.0
Short Int Prev Month,2405864.0
Short Int Pct of Float,0.0208061
Days to Cover,2.57315
Float,121.6904
Shares Outstanding,122.9686
Institutions Holding Shares,1056.0
FCF Growth 5yr,0.03498977946293773
"Price/Earnings (TTM, GAAP)",4.51
"PEG Ratio (TTM, GAAP)",0.39
Gross Profit Margin (TTM),0.6281
Operating Profit Margin (TTM),0.3385
Net Profit Margin (TTM),0.27690000000000003
Annual Dividend Yield,0.0342
Dividend Change %,0.0793
"Dividend Growth Rate, 3 Years",0.09269999999999999
EPS Growth (MRQ),3.5106
EPS Growth (TTM),1.062
Revenue Growth (MRQ),-0.025099999999999997
Revenue Growth (TTM),-0.0101
Return On Equity (TTM),0.5638000000000001
Return On Assets (TTM),0.0244
Return On Investment (TTM),0.027400000000000004
Revenue Per Employee (TTM),1021040.0
Total Debt/Total Capital (MRQ),0.7576999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),13.43
newConstructs,1
researchTeam,reduce
theStreet,hold
creditSuisse,outperform
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2020-03-24 00:00:00
creditSuisse since,2019-05-13 00:00:00
cfra since,2019-07-25 00:00:00
ford since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
