,DE
% Above Low,0.2907
% Held by Institutions,0.7884
52-Wk Range,['106.14 - 181.99']
Annual Dividend $,3.04
Annual Dividend %,0.022400000000000003
Ask,138.49
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,0.9
Bid,137.03
Bid Size,500.0
Closing Price,137.0
Day Change $,1.0
Day Change %,0.0074
Day High,138.95
Day Low,136.72
Dividend Pay Date,2020-05-08 00:00:00
"EPS (TTM, GAAP)",10.02
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.439
Last (size),150.0
Last (time),6:30p ET 05/08/20
Market Cap,43.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.57
Prev Close,136.0
Short Interest,0.0144
Today's Open,138.0
Volume,1729777.0
Volume 10-day Avg,1576268.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-22 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.5989690721649484
Growth 1yr High Est,-0.18128654970760227
Growth 1yr Consensus Est,-0.39012781093627535
Growth 2yr Low Est,-0.09125831500278275
Growth 2yr High Est,0.07245196324143693
Growth 2yr Consensus Est,-0.00940317588067291
Growth 5yr Low Est,0.12485657350876492
Growth 5yr High Est,0.15723242011614377
Growth 5yr Consensus Est,0.14104449681245435
Growth 5yr Actual/Est,0.11170496990436551
Growth 3yr Historic,0.11606539317531073
Price/Earnings (TTM),13.57094
Price/Sales (TTM),1.09583
Price/Book (MRQ),3.57095
Price/Cash Flow (TTM),8.12797
5yr Low,70.16
5yr High,181.99
5yr Avg Return,0.10631666666666666
EPS Growth 5yr,0.0285425
Revenue Growth 5yr,0.0172197
Dividend Growth 5yr,0.0687481
Short Int Current Month,4512931.0
Short Int Prev Month,3545384.0
Short Int Pct of Float,0.014429
Days to Cover,2.50074
Float,313.3852
Shares Outstanding,313.62
Institutions Holding Shares,1577.0
FCF Growth 5yr,-0.1394205793731591
"Price/Earnings (TTM, GAAP)",13.57
"PEG Ratio (TTM, GAAP)",4.42
Gross Profit Margin (TTM),0.2767
Operating Profit Margin (TTM),0.138
Net Profit Margin (TTM),0.0821
Annual Dividend Yield,0.022400000000000003
Dividend Change %,0.19280000000000003
"Dividend Growth Rate, 3 Years",0.0736
EPS Growth (MRQ),-0.23920000000000002
EPS Growth (TTM),0.0466
Revenue Growth (MRQ),-0.2285
Revenue Growth (TTM),0.0126
Return On Equity (TTM),0.2756
Return On Assets (TTM),0.0451
Return On Investment (TTM),0.0676
Revenue Per Employee (TTM),529556.0
Total Debt/Total Capital (MRQ),0.7898999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.72
newConstructs,3
researchTeam,reduce
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2018-05-21 00:00:00
cfra since,2018-08-17 00:00:00
ford since,2019-02-08 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2007-11-21 00:00:00
