,CPRI
% Above Low,1.7694
% Held by Institutions,0.9289000000000001
52-Wk Range,['5.42 - 43.63']
Annual Dividend $,
Annual Dividend %,
Ask,15.17
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.9
Bid,14.6
Bid Size,500.0
Change Since Close,-0.02| |(-0.13%)
Closing Price,15.01
Day Change $,0.98
Day Change %,0.0699
Day High,15.21
Day Low,14.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.28
Ex-dividend Date,No dividend
Historical Volatility,0.907
Last (size),50.0
Last (time),6:30p ET 05/08/20
Last Trade,14.99
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",6.15
Prev Close,14.03
Short Interest,0.12140000000000001
Today's Open,14.46
Volume,3516255.0
Volume 10-day Avg,4305685.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-05-27 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.3285714285714286
Growth 1yr High Est,-0.10495049504950504
Growth 1yr Consensus Est,-0.21676096181046683
Growth 2yr Low Est,-0.8193009118541035
Growth 2yr High Est,0.019427407342504144
Growth 2yr Consensus Est,-0.39993675225579967
Growth 5yr Low Est,-0.36364468697151897
Growth 5yr High Est,0.05865386291740465
Growth 5yr Consensus Est,-0.15249541202705713
Growth 5yr Actual/Est,-0.07789480611116745
Growth 3yr Historic,0.04139881449323757
Price/Earnings (TTM),6.14922
Price/Sales (TTM),0.36747
Price/Book (MRQ),0.80132
Price/Cash Flow (TTM),3.49732
5yr Low,5.42
5yr High,75.96
5yr Avg Return,-0.13375
EPS Growth 5yr,0.021712799999999997
Revenue Growth 5yr,0.0960879
Dividend Growth 5yr,
Short Int Current Month,17152342.0
Short Int Prev Month,14573049.0
Short Int Pct of Float,0.12136659999999999
Days to Cover,2.97158
Float,141.3345
Shares Outstanding,149.3654
Institutions Holding Shares,537.0
FCF Growth 5yr,0.09225728674882591
"Price/Earnings (TTM, GAAP)",6.15
"PEG Ratio (TTM, GAAP)",46.94
Gross Profit Margin (TTM),0.6020000000000001
Operating Profit Margin (TTM),0.0674
Net Profit Margin (TTM),0.060700000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.8847
EPS Growth (TTM),-0.3996
Revenue Growth (MRQ),0.0895
Revenue Growth (TTM),0.12400000000000001
Return On Equity (TTM),0.1426
Return On Assets (TTM),0.0483
Return On Investment (TTM),0.065
Revenue Per Employee (TTM),513942.0
Total Debt/Total Capital (MRQ),0.4476
Change in Debt/Total Capital Quarter over Quarter,-0.004
Quick Ratio (MRQ),0.36
Interest Coverage (MRQ),239.0
newConstructs,2
researchTeam,reduce
theStreet,hold
cfra,2
ford,2
creditSuisse,neutral
marketEdge,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2018-10-05 00:00:00
theStreet since,2018-12-07 00:00:00
cfra since,2019-08-07 00:00:00
ford since,2020-04-17 00:00:00
creditSuisse since,2018-11-09 00:00:00
marketEdge since,
