,NVR
% Below High,0.23370000000000002
% Held by Institutions,0.8706
52-Wk Range,"['2,043.01 - 4,071.13']"
Annual Dividend $,
Annual Dividend %,
Ask,3225.0
Ask Size,10.0
B/A Ratio,1.0
B/A Size,10x10
Beta,1.0
Bid,3112.34
Bid Size,10.0
Closing Price,3119.67
Day Change $,119.67
Day Change %,0.039900000000000005
Day High,3144.83
Day Low,3015.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",218.69
Ex-dividend Date,No dividend
Historical Volatility,0.554
Last (size),305.0
Last (time),6:30p ET 05/08/20
Market Cap,11.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",13.72
Prev Close,3000.0
Short Interest,0.013600000000000001
Today's Open,3030.0
Volume,27329.0
Volume 10-day Avg,33181.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.4380230981437322
Growth 1yr High Est,-0.13568390725751123
Growth 1yr Consensus Est,-0.2868535027006217
Growth 2yr Low Est,-0.3428571269069605
Growth 2yr High Est,-0.007656768443570383
Growth 2yr Consensus Est,-0.17525694767526545
Growth 5yr Low Est,-0.05798691606010267
Growth 5yr High Est,0.10057441542356274
Growth 5yr Consensus Est,0.021293749681730034
Growth 5yr Actual/Est,0.06092140077677796
Growth 3yr Historic,0.12844782643130448
Price/Earnings (TTM),13.71808
Price/Sales (TTM),1.50586
Price/Book (MRQ),4.55997
Price/Cash Flow (TTM),12.42975
5yr Low,1292.11
5yr High,4071.13
5yr Avg Return,0.25545
EPS Growth 5yr,0.2834278
Revenue Growth 5yr,0.10776160000000001
Dividend Growth 5yr,
Short Int Current Month,47420.0
Short Int Prev Month,58437.0
Short Int Pct of Float,0.0136463
Days to Cover,1.71712
Float,3.4726
Shares Outstanding,3.67595
Institutions Holding Shares,689.0
FCF Growth 5yr,0.3472700419631899
"Price/Earnings (TTM, GAAP)",14.27
"PEG Ratio (TTM, GAAP)",5.94
Gross Profit Margin (TTM),0.2072
Operating Profit Margin (TTM),0.1358
Net Profit Margin (TTM),0.1182
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3031
EPS Growth (TTM),0.0741
Revenue Growth (MRQ),-0.2048
Revenue Growth (TTM),-0.0039000000000000003
Return On Equity (TTM),0.4012
Return On Assets (TTM),0.23879999999999998
Return On Investment (TTM),0.31420000000000003
Revenue Per Employee (TTM),1284790.0
Total Debt/Total Capital (MRQ),0.1985
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),25.88
newConstructs,1
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
theStreet,buy
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2011-12-06 00:00:00
cfra since,2020-01-28 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,
