,NVR
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.4380230981437322
Growth 1yr High Est,-0.13568390725751123
Growth 1yr Consensus Est,-0.2868535027006217
Growth 2yr Low Est,-0.3428571269069605
Growth 2yr High Est,-0.007656768443570383
Growth 2yr Consensus Est,-0.17525694767526545
Growth 5yr Low Est,-0.05798691606010267
Growth 5yr High Est,0.10057441542356274
Growth 5yr Consensus Est,0.021293749681730034
Growth 5yr Actual/Est,0.06092140077677796
Growth 3yr Historic,0.12844782643130448
