,RF
% Above Low,0.48700000000000004
% Held by Institutions,0.7491
52-Wk Range,['6.94 - 17.54']
Annual Dividend $,0.62
Annual Dividend %,0.0629
Ask,10.4
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.7
Bid,10.0
Bid Size,400.0
Closing Price,10.32
Day Change $,0.47
Day Change %,0.04769999999999999
Day High,10.38
Day Low,10.01
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",1.28
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.595
Last (size),300.0
Last (time),6:30p ET 05/08/20
Market Cap,9.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.05
Prev Close,9.85
Short Interest,0.0204
Today's Open,10.17
Volume,7562551.0
Volume 10-day Avg,10145522.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-1.2666666666666666
Growth 1yr High Est,-0.30519480519480513
Growth 1yr Consensus Est,-0.7859307359307359
Growth 2yr Low Est,-2.020833333333333
Growth 2yr High Est,0.18852409272970022
Growth 2yr Consensus Est,-0.9161546203018164
Growth 5yr Low Est,-1.3129084967320261
Growth 5yr High Est,0.11724390992106597
Growth 5yr Consensus Est,-0.59783229340548
Growth 5yr Actual/Est,0.18896663612946504
Growth 3yr Historic,0.1032347282347282
Price/Earnings (TTM),8.0525
Price/Sales (TTM),1.69153
Price/Book (MRQ),0.61672
Price/Cash Flow (TTM),5.87768
5yr Low,6.94
5yr High,20.21
5yr Avg Return,0.059783333333333306
EPS Growth 5yr,0.1402219
Revenue Growth 5yr,0.052665
Dividend Growth 5yr,0.32650219999999996
Short Int Current Month,19436568.0
Short Int Prev Month,15898895.0
Short Int Pct of Float,0.020400299999999996
Days to Cover,1.50665
Float,955.6574
Shares Outstanding,959.6796
Institutions Holding Shares,976.0
FCF Growth 5yr,0.15337807635991663
"Price/Earnings (TTM, GAAP)",8.05
"PEG Ratio (TTM, GAAP)",0.99
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2886
Net Profit Margin (TTM),0.2306
Annual Dividend Yield,0.0601
Dividend Change %,0.40240000000000004
"Dividend Growth Rate, 3 Years",0.3289
EPS Growth (MRQ),-0.6182
EPS Growth (TTM),-0.050499999999999996
Revenue Growth (MRQ),-0.0262
Revenue Growth (TTM),0.004
Return On Equity (TTM),0.08230000000000001
Return On Assets (TTM),0.0103
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
theStreet,hold
cfra,3
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
creditSuisse since,2019-02-11 00:00:00
theStreet since,2020-03-10 00:00:00
cfra since,2019-07-19 00:00:00
ford since,2020-04-09 00:00:00
