,Industry,KEY,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.18,7.97,Valuation,0.8681917211328976
Price/Sales (TTM),2.36,1.66,Valuation,0.7033898305084746
Price/Book (MRQ),0.96,0.68,Valuation,0.7083333333333334
"PEG Ratio (TTM, GAAP)",1.0,,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.3005,0.2696,Profitability,0.897171381031614
Net Profit Margin (TTM),0.24480000000000002,0.22920000000000001,Profitability,0.9362745098039216
Annual Dividend Yield,0.043899999999999995,0.0688,Dividend,1.5671981776765378
Dividend Change %,0.2285,0.2566,Dividend,1.1229759299781181
"Dividend Growth Rate, 3 Years",0.24350000000000002,0.29100000000000004,Dividend,1.1950718685831623
EPS Growth (MRQ),-0.5670000000000001,-0.7287,Gowth rates,1.285185185185185
EPS Growth (TTM),-0.0913,-0.2089,Gowth rates,2.288061336254107
Revenue Growth (MRQ),-0.016399999999999998,-0.0265,Gowth rates,1.6158536585365855
Revenue Growth (TTM),0.052300000000000006,0.027200000000000002,Gowth rates,0.520076481835564
Return On Equity (TTM),0.0968,0.08960000000000001,Effectiveness,0.9256198347107439
Return On Assets (TTM),0.0097,0.0097,Effectiveness,1.0
Return On Investment (TTM),0.0001,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),0.0005,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.3811,0.0025,Financial strength,0.006559958016268696
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),0.0,,Financial strength,
