,BRK.B
% Above Low,0.10869999999999999
% Held by Institutions,
52-Wk Range,['159.50 - 231.61']
Annual Dividend $,
Annual Dividend %,
Ask,177.7
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,
Bid,177.3
Bid Size,400.0
Change Since Close,0.67| |(0.38%)
Closing Price,176.83
Day Change $,3.35
Day Change %,0.019299999999999998
Day High,177.26
Day Low,174.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.316
Last (size),4.0
Last (time),6:30p ET 05/08/20
Last Trade,177.5
Market Cap,429.7B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,173.48
Short Interest,
Today's Open,176.71
Volume,5798965.0
Volume 10-day Avg,7443218.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-01 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.0625
Growth 1yr High Est,0.05528134254689032
Growth 1yr Consensus Est,-0.003609328726554839
Growth 2yr Low Est,0.057638888888888906
Growth 2yr High Est,0.05149474049701863
Growth 2yr Consensus Est,0.05456681469295377
Growth 5yr Low Est,0.03842592592592594
Growth 5yr High Est,0.034329826998012423
Growth 5yr Consensus Est,0.03637787646196918
Growth 5yr Actual/Est,0.20019845673746506
Growth 3yr Historic,0.17203784830115632
5yr Low,123.55
5yr High,231.61
5yr Avg Return,0.04571666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0551262
Dividend Growth 5yr,
FCF Growth 5yr,0.13416061478863087
researchTeam,reduce
theStreet,hold
ford,3
newConstructs,
creditSuisse,
cfra,3
marketEdge,
researchTeam since,2020-05-01 00:00:00
theStreet since,2020-03-23 00:00:00
ford since,2020-02-28 00:00:00
newConstructs since,
creditSuisse since,
cfra since,2016-05-02 00:00:00
marketEdge since,
