,HIG
% Above Low,0.9091
% Held by Institutions,0.9268000000000001
52-Wk Range,['19.04 - 62.75']
Annual Dividend $,1.3
Annual Dividend %,0.037200000000000004
Ask,37.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,32.0
Bid Size,200.0
Closing Price,36.35
Day Change $,1.44
Day Change %,0.0412
Day High,36.46
Day Low,35.22
Dividend Pay Date,2020-04-02 00:00:00
"EPS (TTM, GAAP)",4.69
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.568
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,13.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",7.45
Prev Close,34.91
Short Interest,0.0138
Today's Open,35.71
Volume,2099921.0
Volume 10-day Avg,3170198.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.2429906542056075
Growth 1yr High Est,-0.05759162303664922
Growth 1yr Consensus Est,-0.15029113862112836
Growth 2yr Low Est,-0.06593977154724817
Growth 2yr High Est,0.0036115958890827193
Growth 2yr Consensus Est,-0.031164087829082726
Growth 5yr Low Est,0.06087225713393929
Growth 5yr High Est,0.07117966041728323
Growth 5yr Consensus Est,0.06602595877561125
Growth 5yr Actual/Est,0.20537714980601088
Growth 3yr Historic,0.2212854638323697
Price/Earnings (TTM),7.45041
Price/Sales (TTM),0.6022
Price/Book (MRQ),0.83683
Price/Cash Flow (TTM),5.72363
5yr Low,19.04
5yr High,62.75
5yr Avg Return,0.01716666666666666
EPS Growth 5yr,0.14049699999999998
Revenue Growth 5yr,0.0212235
Dividend Growth 5yr,0.1270092
Short Int Current Month,4921984.0
Short Int Prev Month,3732651.0
Short Int Pct of Float,0.0138131
Days to Cover,1.27626
Float,356.5231
Shares Outstanding,358.075
Institutions Holding Shares,933.0
FCF Growth 5yr,0.11921256684896135
"Price/Earnings (TTM, GAAP)",7.45
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.115
Net Profit Margin (TTM),0.08320000000000001
Annual Dividend Yield,0.037200000000000004
Dividend Change %,0.0909
"Dividend Growth Rate, 3 Years",0.1174
EPS Growth (MRQ),-0.5021
EPS Growth (TTM),0.040999999999999995
Revenue Growth (MRQ),-0.0757
Revenue Growth (TTM),0.0804
Return On Equity (TTM),0.11800000000000001
Return On Assets (TTM),0.0262
Return On Investment (TTM),
Revenue Per Employee (TTM),1064513.0
Total Debt/Total Capital (MRQ),0.2217
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),13.2
newConstructs,3
researchTeam,reduce
theStreet,hold
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-01-27 00:00:00
theStreet since,2020-03-20 00:00:00
cfra since,2020-05-01 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-01-06 00:00:00
