,STT
% Above Low,0.4304
% Held by Institutions,0.935
52-Wk Range,['42.10 - 85.89']
Annual Dividend $,2.08
Annual Dividend %,0.035699999999999996
Ask,75.02
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,58.4
Bid Size,100.0
Closing Price,60.22
Day Change $,1.98
Day Change %,0.034
Day High,60.32
Day Low,58.78
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",5.81
Ex-dividend,2020-03-31 00:00:00
Ex-dividend Date,03/31/20
Historical Volatility,0.526
Last (size),6700.0
Last (time),6:30p ET 05/08/20
Market Cap,21.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.37
Prev Close,58.24
Short Interest,0.0102
Today's Open,59.73
Volume,1521281.0
Volume 10-day Avg,2248773.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.1631944444444443
Growth 1yr High Est,0.0235294117647058
Growth 1yr Consensus Est,-0.06983251633986925
Growth 2yr Low Est,-0.10441879898570772
Growth 2yr High Est,0.042963392253453025
Growth 2yr Consensus Est,-0.030727703366127346
Growth 5yr Low Est,-0.0534766630598886
Growth 5yr High Est,0.015253354384892975
Growth 5yr Consensus Est,-0.019111654337497813
Growth 5yr Actual/Est,-0.022838288069960883
Growth 3yr Historic,-0.0052046927451437075
Price/Earnings (TTM),10.37233
Price/Sales (TTM),1.78272
Price/Book (MRQ),0.99084
Price/Cash Flow (TTM),6.05047
5yr Low,42.1
5yr High,114.27
5yr Avg Return,-0.007166666666666674
EPS Growth 5yr,0.0347489
Revenue Growth 5yr,0.08198420000000001
Dividend Growth 5yr,0.114982
Short Int Current Month,3565683.0
Short Int Prev Month,3132986.0
Short Int Pct of Float,0.0101869
Days to Cover,1.38362
Float,350.3206
Shares Outstanding,351.9564
Institutions Holding Shares,1064.0
FCF Growth 5yr,0.19967880816097536
"Price/Earnings (TTM, GAAP)",10.37
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2398
Net Profit Margin (TTM),0.19920000000000002
Annual Dividend Yield,0.0345
Dividend Change %,0.11560000000000001
"Dividend Growth Rate, 3 Years",0.113
EPS Growth (MRQ),0.20379999999999998
EPS Growth (TTM),-0.012700000000000001
Revenue Growth (MRQ),-0.038700000000000005
Revenue Growth (TTM),-0.0154
Return On Equity (TTM),0.1
Return On Assets (TTM),0.008
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0139
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,4
ford,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-13 00:00:00
cfra since,2019-07-19 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,2015-02-26 00:00:00
