,Industry,STT,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.92,10.37,Valuation,0.5786830357142856
Price/Sales (TTM),8.17,1.78,Valuation,0.21787025703794372
Price/Book (MRQ),82.69,0.99,Valuation,0.011972427137501513
"PEG Ratio (TTM, GAAP)",58.12,,Valuation,
Gross Profit Margin (TTM),0.46280000000000004,,Profitability,
Operating Profit Margin (TTM),0.2973,0.2398,Profitability,0.8065926673393878
Net Profit Margin (TTM),0.1956,0.19920000000000002,Profitability,1.0184049079754602
Annual Dividend Yield,0.0275,0.0345,Dividend,1.2545454545454546
Dividend Change %,0.1478,0.11560000000000001,Dividend,0.7821380243572397
"Dividend Growth Rate, 3 Years",0.15109999999999998,0.113,Dividend,0.7478491065519525
EPS Growth (MRQ),-0.354,0.20379999999999998,Gowth rates,-0.5757062146892655
EPS Growth (TTM),0.0031,-0.012700000000000001,Gowth rates,-4.096774193548388
Revenue Growth (MRQ),-0.2028,-0.038700000000000005,Gowth rates,0.19082840236686394
Revenue Growth (TTM),0.0079,-0.0154,Gowth rates,-1.9493670886075949
Return On Equity (TTM),4.6817,0.1,Effectiveness,0.021359762479441227
Return On Assets (TTM),0.0592,0.008,Effectiveness,0.13513513513513514
Return On Investment (TTM),0.1151,,Effectiveness,
Revenue Per Employee (TTM),834195.0,,Effectiveness,
Total Debt/Total Capital (MRQ),0.4335,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0139,Financial strength,23.166666666666668
Quick Ratio (MRQ),0.0,,Financial strength,
Interest Coverage (MRQ),13.18,,Financial strength,
