,MCK
% Above Low,0.20750000000000002
% Held by Institutions,1.0177
52-Wk Range,['112.60 - 172.18']
Annual Dividend $,1.64
Annual Dividend %,0.012199999999999999
Ask,142.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,133.51
Bid Size,100.0
Closing Price,135.97
Day Change $,1.39
Day Change %,0.0103
Day High,137.42
Day Low,134.47
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",-5.24
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.44200000000000006
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,22.0B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,134.58
Short Interest,0.0196
Today's Open,136.47
Volume,943099.0
Volume 10-day Avg,1529731.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.08401486988847595
Growth 1yr High Est,0.09558823529411775
Growth 1yr Consensus Est,0.08980155259129685
Growth 2yr Low Est,-0.01629160483628328
Growth 2yr High Est,0.1383981444926965
Growth 2yr Consensus Est,0.06105326982820661
Growth 5yr Low Est,0.012971632170286074
Growth 5yr High Est,0.08778849912381859
Growth 5yr Consensus Est,0.05038006564705233
Growth 5yr Actual/Est,0.054200900208880354
Growth 3yr Historic,0.020414230721595816
Price/Earnings (TTM),
Price/Sales (TTM),0.09662
Price/Book (MRQ),3.85822
Price/Cash Flow (TTM),135.0012
5yr Low,106.11
5yr High,243.61
5yr Avg Return,-0.060233333333333326
EPS Growth 5yr,
Revenue Growth 5yr,0.0929992
Dividend Growth 5yr,0.1065576
Short Int Current Month,3153408.0
Short Int Prev Month,3449533.0
Short Int Pct of Float,0.0195912
Days to Cover,1.60223
Float,142.2879
Shares Outstanding,161.5039
Institutions Holding Shares,1164.0
FCF Growth 5yr,0.07747658679209388
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.05280000000000001
Operating Profit Margin (TTM),0.0032
Net Profit Margin (TTM),-0.0034000000000000002
Annual Dividend Yield,0.0122
Dividend Change %,0.17739999999999997
"Dividend Growth Rate, 3 Years",0.11970000000000001
EPS Growth (MRQ),1.2664
EPS Growth (TTM),-2.22
Revenue Growth (MRQ),0.027000000000000003
Revenue Growth (TTM),0.0535
Return On Equity (TTM),-0.1276
Return On Assets (TTM),-0.0126
Return On Investment (TTM),-0.0371
Revenue Per Employee (TTM),2811813.0
Total Debt/Total Capital (MRQ),0.5586
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.56
Interest Coverage (MRQ),10.96
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromlong
marketEdge,-3
theStreet,hold
cfra,4
ford,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-13 00:00:00
cfra since,2019-05-08 00:00:00
ford since,2020-03-27 00:00:00
creditSuisse since,2019-07-22 00:00:00
