,Industry,RCL,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.94,4.46,Valuation,0.203281677301732
Price/Sales (TTM),8.26,0.76,Valuation,0.09200968523002422
Price/Book (MRQ),4.17,0.69,Valuation,0.16546762589928057
"PEG Ratio (TTM, GAAP)",69.54,,Valuation,
Gross Profit Margin (TTM),0.41630000000000006,0.4559,Profitability,1.0951237088638
Operating Profit Margin (TTM),0.2077,0.1902,Profitability,0.915743861338469
Net Profit Margin (TTM),0.1241,0.17420000000000002,Profitability,1.403706688154714
Annual Dividend Yield,0.0148,0.0782,Dividend,5.283783783783784
Dividend Change %,0.1185,0.1385,Dividend,1.168776371308017
"Dividend Growth Rate, 3 Years",0.0885,0.20070000000000002,Dividend,2.267796610169492
EPS Growth (MRQ),-0.6358,-0.6900000000000001,Gowth rates,1.085246932997798
EPS Growth (TTM),0.0032,0.0424,Gowth rates,13.25
Revenue Growth (MRQ),-0.0748,-0.2101,Gowth rates,2.8088235294117645
Revenue Growth (TTM),0.029700000000000004,0.1534,Gowth rates,5.164983164983164
Return On Equity (TTM),0.11710000000000001,0.16149999999999998,Effectiveness,1.3791631084543123
Return On Assets (TTM),0.1011,0.0658,Effectiveness,0.6508407517309595
Return On Investment (TTM),0.131,0.09119999999999999,Effectiveness,0.6961832061068701
Revenue Per Employee (TTM),156725.0,128378.0,Effectiveness,0.8191290476950072
Total Debt/Total Capital (MRQ),1.3097,0.4561,Financial strength,0.3482476903107582
Change in Debt/Total Capital Quarter over Quarter,0.0003,-0.0007000000000000001,Financial strength,-2.333333333333334
Quick Ratio (MRQ),1.01,0.13,Financial strength,0.12871287128712872
Interest Coverage (MRQ),6.89,90.58,Financial strength,13.146589259796807
