,RCL
% Above Low,1.0738
% Held by Institutions,0.7462000000000001
52-Wk Range,['19.25 - 135.32']
Annual Dividend $,3.12
Annual Dividend %,0.08199999999999999
Ask,39.75
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,2.5
Bid,39.51
Bid Size,500.0
Closing Price,39.92
Day Change $,1.89
Day Change %,0.049699999999999994
Day High,41.39
Day Low,38.55
Dividend Pay Date,2020-04-06 00:00:00
"EPS (TTM, GAAP)",8.95
Ex-dividend,2020-03-05 00:00:00
Ex-dividend Date,03/05/20
Historical Volatility,0.9400000000000001
Last (size),6.0
Last (time),6:30p ET 05/08/20
Market Cap,8.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.46
Prev Close,38.03
Short Interest,0.1642
Today's Open,40.3
Volume,15961923.0
Volume 10-day Avg,20080128.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-2.28046218487395
Growth 1yr High Est,-1.065979381443299
Growth 1yr Consensus Est,-1.6732207831586243
Growth 2yr Low Est,-1.4921589021170405
Growth 2yr High Est,-5.243927190721649
Growth 2yr Consensus Est,-3.368043046419345
Growth 5yr Low Est,-0.676711862125714
Growth 5yr High Est,-2.556466519337433
Growth 5yr Consensus Est,-1.6165891907315735
Growth 5yr Actual/Est,-0.6675286995668328
Growth 3yr Historic,0.06334406542378263
Price/Earnings (TTM),4.46176
Price/Sales (TTM),0.76232
Price/Book (MRQ),0.68525
Price/Cash Flow (TTM),2.64716
5yr Low,19.25
5yr High,135.65
5yr Avg Return,0.025366666666666666
EPS Growth 5yr,0.2117359
Revenue Growth 5yr,0.0628498
Dividend Growth 5yr,0.2189329
Short Int Current Month,27961437.0
Short Int Prev Month,22451563.0
Short Int Pct of Float,0.1641856
Days to Cover,0.91298
Float,170.539
Shares Outstanding,209.1166
Institutions Holding Shares,900.0
FCF Growth 5yr,18.530265861498943
"Price/Earnings (TTM, GAAP)",4.46
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4559
Operating Profit Margin (TTM),0.1902
Net Profit Margin (TTM),0.17420000000000002
Annual Dividend Yield,0.0782
Dividend Change %,0.1385
"Dividend Growth Rate, 3 Years",0.20070000000000002
EPS Growth (MRQ),-0.6900000000000001
EPS Growth (TTM),0.0424
Revenue Growth (MRQ),-0.2101
Revenue Growth (TTM),0.1534
Return On Equity (TTM),0.16149999999999998
Return On Assets (TTM),0.0658
Return On Investment (TTM),0.09119999999999999
Revenue Per Employee (TTM),128378.0
Total Debt/Total Capital (MRQ),0.4561
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.13
Interest Coverage (MRQ),90.58
newConstructs,2
researchTeam,reduce
theStreet,hold
cfra,2
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-03 00:00:00
theStreet since,2020-03-10 00:00:00
cfra since,2020-02-11 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
