,AON,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.59,11.9,Valuation,2.234453781512605
Price/Sales (TTM),3.85,3.79,Valuation,1.0158311345646438
Price/Book (MRQ),13.48,2.87,Valuation,4.696864111498257
"PEG Ratio (TTM, GAAP)",2.96,0.14,Valuation,21.142857142857142
Gross Profit Margin (TTM),,0.0161,Profitability,
Operating Profit Margin (TTM),0.2108,0.10220000000000001,Profitability,2.062622309197651
Net Profit Margin (TTM),0.1524,0.069,Profitability,2.208695652173913
Annual Dividend Yield,0.0095,0.026099999999999998,Dividend,0.36398467432950193
Dividend Change %,0.1026,0.0658,Dividend,1.5592705167173253
"Dividend Growth Rate, 3 Years",0.10060000000000001,0.1061,Dividend,0.9481621112158342
EPS Growth (MRQ),1.0862,-0.1369,Gowth rates,-7.9342585829072325
EPS Growth (TTM),0.3936,0.8539,Gowth rates,0.46094390443845884
Revenue Growth (MRQ),0.1158,0.1629,Gowth rates,0.710865561694291
Revenue Growth (TTM),0.0246,0.0974,Gowth rates,0.25256673511293637
Return On Equity (TTM),0.4147,0.1313,Effectiveness,3.1584158415841586
Return On Assets (TTM),0.056900000000000006,0.0302,Effectiveness,1.8841059602649008
Return On Investment (TTM),0.1225,0.0234,Effectiveness,5.235042735042735
Revenue Per Employee (TTM),221780.0,1167261.0,Effectiveness,0.19000035124963482
Total Debt/Total Capital (MRQ),0.7133,0.2986,Financial strength,2.3888144675150706
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0004,Financial strength,5.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),12.98,10.16,Financial strength,1.2775590551181102
