,AON
% Above Low,0.3184
% Held by Institutions,0.9225
52-Wk Range,['143.93 - 238.19']
Annual Dividend $,1.76
Annual Dividend %,0.0095
Ask,240.28
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,183.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,189.76
Day Change $,4.93
Day Change %,0.026699999999999998
Day High,189.77
Day Low,185.19
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",6.95
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.376
Last (size),3.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,43.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",26.59
Prev Close,184.83
Short Interest,0.0391
Today's Open,186.17
Volume,856961.0
Volume 10-day Avg,1575344.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-24 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.03867403314917128
Growth 1yr High Est,0.13879781420765025
Growth 1yr Consensus Est,0.08873592367841077
Growth 2yr Low Est,0.04433701657458555
Growth 2yr High Est,0.13321848483894994
Growth 2yr Consensus Est,0.08877775070676774
Growth 5yr Low Est,0.116697929157632
Growth 5yr High Est,0.154967942542881
Growth 5yr Consensus Est,0.1358329358502565
Growth 5yr Actual/Est,0.13874689876084956
Growth 3yr Historic,0.0938270630338025
Price/Earnings (TTM),26.5944
Price/Sales (TTM),3.85169
Price/Book (MRQ),13.47775
Price/Cash Flow (TTM),18.94074
5yr Low,83.83
5yr High,238.19
5yr Avg Return,0.13185000000000002
EPS Growth 5yr,0.0644333
Revenue Growth 5yr,-0.0177551
Dividend Growth 5yr,0.1320806
Short Int Current Month,8957010.0
Short Int Prev Month,7949801.0
Short Int Pct of Float,0.0391477
Days to Cover,6.20762
Float,228.8867
Shares Outstanding,231.0846
Institutions Holding Shares,1083.0
FCF Growth 5yr,0.2382421115072281
"Price/Earnings (TTM, GAAP)",26.59
"PEG Ratio (TTM, GAAP)",2.96
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2108
Net Profit Margin (TTM),0.1524
Annual Dividend Yield,0.0095
Dividend Change %,0.1026
"Dividend Growth Rate, 3 Years",0.10060000000000001
EPS Growth (MRQ),1.0862
EPS Growth (TTM),0.3936
Revenue Growth (MRQ),0.1158
Revenue Growth (TTM),0.0246
Return On Equity (TTM),0.4147
Return On Assets (TTM),0.056900000000000006
Return On Investment (TTM),0.1225
Revenue Per Employee (TTM),221780.0
Total Debt/Total Capital (MRQ),0.7133
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),12.98
newConstructs,1
researchTeam,reduce
cfra,4
theStreet,buy
ford,2
marketEdge opinion,avoid
marketEdge,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
cfra since,2019-11-21 00:00:00
theStreet since,2018-05-07 00:00:00
ford since,2020-02-28 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-08-07 00:00:00
