,LB
% Above Low,0.5275
% Held by Institutions,0.8116
52-Wk Range,['8.00 - 28.02']
Annual Dividend $,
Annual Dividend %,
Ask,12.38
Ask Size,200.0
B/A Ratio,10.0
B/A Size,2000x200
Beta,1.1
Bid,12.1
Bid Size,2000.0
Closing Price,12.22
Day Change $,1.04
Day Change %,0.09300000000000001
Day High,12.54
Day Low,11.41
Dividend Pay Date,03/06/20
"EPS (TTM, GAAP)",-1.33
Ex-dividend Date,02/20/20
Historical Volatility,0.8590000000000001
Last (size),357.0
Last (time),6:30p ET 05/08/20
Market Cap,3.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,11.18
Short Interest,0.10310000000000001
Today's Open,11.43
Volume,10237145.0
Volume 10-day Avg,9622695.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-1.8216216216216217
Growth 1yr High Est,-0.14583333333333337
Growth 1yr Consensus Est,-0.9837274774774776
Growth 2yr Low Est,-1.7200213371266002
Growth 2yr High Est,0.05635162601626026
Growth 2yr Consensus Est,-0.83183485555517
Growth 5yr Low Est,-0.9751196837519331
Growth 5yr High Est,-0.03671828343170763
Growth 5yr Consensus Est,-0.5059189835918204
Growth 5yr Actual/Est,0.05496450853862622
Growth 3yr Historic,-0.07667331560283691
Price/Earnings (TTM),
Price/Sales (TTM),0.23938
Price/Book (MRQ),
Price/Cash Flow (TTM),13.92632
5yr Low,8.0
5yr High,101.11
5yr Avg Return,-0.25156666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0242848
Dividend Growth 5yr,
Short Int Current Month,23508537.0
Short Int Prev Month,19633809.0
Short Int Pct of Float,0.1031381
Days to Cover,2.47445
Float,227.9319
Shares Outstanding,276.5333
Institutions Holding Shares,574.0
FCF Growth 5yr,-0.10539053395901415
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.365
Operating Profit Margin (TTM),0.013999999999999999
Net Profit Margin (TTM),-0.028300000000000002
Annual Dividend Yield,
Dividend Change %,-0.5
"Dividend Growth Rate, 3 Years",-0.20629999999999998
EPS Growth (MRQ),0.23809999999999998
EPS Growth (TTM),-1.5763999999999998
Revenue Growth (MRQ),0.7583
Revenue Growth (TTM),-0.024300000000000002
Return On Equity (TTM),
Return On Assets (TTM),-0.0402
Return On Investment (TTM),-0.0529
Revenue Per Employee (TTM),506471.0
Total Debt/Total Capital (MRQ),1.367
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),0.83
Interest Coverage (MRQ),8.87
newConstructs,2
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
cfra,2
theStreet,hold
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-05-06 00:00:00
theStreet since,2016-01-12 00:00:00
ford since,2020-04-17 00:00:00
creditSuisse since,2020-02-11 00:00:00
