,HOG
% Above Low,0.499
% Held by Institutions,0.9818000000000001
52-Wk Range,['14.31 - 40.89']
Annual Dividend $,0.08
Annual Dividend %,0.0039000000000000003
Ask,21.65
Ask Size,1200.0
B/A Ratio,0.16666666666666666
B/A Size,200x1200
Beta,1.5
Bid,21.04
Bid Size,200.0
Closing Price,21.45
Day Change $,1.01
Day Change %,0.049400000000000006
Day High,21.77
Day Low,21.0
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",2.32
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.667
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,3.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.81
Prev Close,20.44
Short Interest,0.1394
Today's Open,21.08
Volume,3343317.0
Volume 10-day Avg,5225941.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.9227799227799227
Growth 1yr High Est,-0.45993031358885017
Growth 1yr Consensus Est,-0.6913551181843864
Growth 2yr Low Est,2.9136100386100385
Growth 2yr High Est,0.1410025851410588
Growth 2yr Consensus Est,1.5273063118755488
Growth 5yr Low Est,1.4129732701783642
Growth 5yr High Est,0.03614247288521294
Growth 5yr Consensus Est,0.7245578715317885
Growth 5yr Actual/Est,0.07508018764278415
Growth 3yr Historic,-0.04724111866969011
Price/Earnings (TTM),8.81365
Price/Sales (TTM),0.59331
Price/Book (MRQ),1.84896
Price/Cash Flow (TTM),5.38762
5yr Low,14.31
5yr High,63.4
5yr Avg Return,-0.1146
EPS Growth 5yr,-0.0709963
Revenue Growth 5yr,-0.0295232
Dividend Growth 5yr,0.0639953
Short Int Current Month,21272364.0
Short Int Prev Month,17863817.0
Short Int Pct of Float,0.1394449
Days to Cover,6.2731
Float,151.0255
Shares Outstanding,153.1353
Institutions Holding Shares,650.0
FCF Growth 5yr,-0.020536044853387114
"Price/Earnings (TTM, GAAP)",8.81
"PEG Ratio (TTM, GAAP)",17.63
Gross Profit Margin (TTM),0.36060000000000003
Operating Profit Margin (TTM),0.094
Net Profit Margin (TTM),0.0693
Annual Dividend Yield,0.0039000000000000003
Dividend Change %,0.013500000000000002
"Dividend Growth Rate, 3 Years",0.0233
EPS Growth (MRQ),4.2010000000000005
EPS Growth (TTM),-0.2126
Revenue Growth (MRQ),0.2107
Revenue Growth (TTM),-0.051
Return On Equity (TTM),0.20940000000000003
Return On Assets (TTM),0.0336
Return On Investment (TTM),0.053899999999999997
Revenue Per Employee (TTM),1055131.0
Total Debt/Total Capital (MRQ),0.8279000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),8.21
newConstructs,2
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2017-10-18 00:00:00
cfra since,2020-01-29 00:00:00
ford since,2019-12-20 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
