,UHS
% Above Low,0.5653
% Held by Institutions,0.9649
52-Wk Range,['65.20 - 157.79']
Annual Dividend $,0.8
Annual Dividend %,0.0083
Ask,112.67
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,88.0
Bid Size,100.0
Closing Price,102.06
Day Change $,5.53
Day Change %,0.057300000000000004
Day High,102.34
Day Low,97.88
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",8.19
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.5970000000000001
Last (size),9.0
Last (time),6:30p ET 05/08/20
Market Cap,8.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.46
Prev Close,96.53
Short Interest,0.0301
Today's Open,98.66
Volume,538182.0
Volume 10-day Avg,715532.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.5740932642487047
Growth 1yr High Est,-0.07482305358948438
Growth 1yr Consensus Est,-0.3244581589190945
Growth 2yr Low Est,0.2713475284595892
Growth 2yr High Est,0.12761579560962938
Growth 2yr Consensus Est,0.1994816620346093
Growth 5yr Low Est,0.2163182021387719
Growth 5yr High Est,0.1408366845978916
Growth 5yr Consensus Est,0.17857744336833176
Growth 5yr Actual/Est,0.13082707688493928
Growth 3yr Historic,0.07846821876537219
Price/Earnings (TTM),12.45599
Price/Sales (TTM),0.76602
Price/Book (MRQ),1.75053
Price/Cash Flow (TTM),7.10562
5yr Low,65.2
5yr High,157.79
5yr Avg Return,-0.011583333333333333
EPS Growth 5yr,0.1098321
Revenue Growth 5yr,0.0675753
Dividend Growth 5yr,
Short Int Current Month,2304701.0
Short Int Prev Month,1641436.0
Short Int Pct of Float,0.0301354
Days to Cover,3.22081
Float,69.26127
Shares Outstanding,85.6083
Institutions Holding Shares,678.0
FCF Growth 5yr,0.04559525501751116
"Price/Earnings (TTM, GAAP)",12.46
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0975
Net Profit Margin (TTM),0.0644
Annual Dividend Yield,
Dividend Change %,0.5
"Dividend Growth Rate, 3 Years",0.14470000000000002
EPS Growth (MRQ),-0.4131
EPS Growth (TTM),-0.0288
Revenue Growth (MRQ),-0.023
Revenue Growth (TTM),0.0472
Return On Equity (TTM),0.1323
Return On Assets (TTM),0.0629
Return On Investment (TTM),0.07400000000000001
Revenue Per Employee (TTM),168442.0
Total Debt/Total Capital (MRQ),0.4094
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.99
Interest Coverage (MRQ),6.51
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,4
theStreet,hold
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-02-28 00:00:00
theStreet since,2020-03-19 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2017-11-02 00:00:00
