,Industry,Type,UHS,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.3,Valuation,12.46,0.5347639484978541
Price/Sales (TTM),10.47,Valuation,0.77,0.07354345749761222
Price/Book (MRQ),6.04,Valuation,1.75,0.2897350993377483
"PEG Ratio (TTM, GAAP)",2724.83,Valuation,,
Gross Profit Margin (TTM),0.1489,Profitability,,
Operating Profit Margin (TTM),0.028900000000000002,Profitability,0.0975,3.3737024221453287
Net Profit Margin (TTM),0.0072,Profitability,0.0644,8.944444444444445
Annual Dividend Yield,0.011899999999999999,Dividend,,
Dividend Change %,0.10060000000000001,Dividend,0.5,4.970178926441352
"Dividend Growth Rate, 3 Years",0.1032,Dividend,0.14470000000000002,1.4021317829457367
EPS Growth (MRQ),0.6215,Gowth rates,-0.4131,-0.6646822204344328
EPS Growth (TTM),0.0001,Gowth rates,-0.0288,-288.0
Revenue Growth (MRQ),0.1139,Gowth rates,-0.023,-0.2019315188762072
Revenue Growth (TTM),0.21420000000000003,Gowth rates,0.0472,0.22035480859010267
Return On Equity (TTM),0.1608,Effectiveness,0.1323,0.8227611940298507
Return On Assets (TTM),0.0506,Effectiveness,0.0629,1.243083003952569
Return On Investment (TTM),0.0166,Effectiveness,0.07400000000000001,4.457831325301205
Revenue Per Employee (TTM),1193781.0,Effectiveness,168442.0,0.1410995819166162
Total Debt/Total Capital (MRQ),0.4833,Financial strength,0.4094,0.8470929029588247
Change in Debt/Total Capital Quarter over Quarter,0.001,Financial strength,-0.0001,-0.1
Quick Ratio (MRQ),0.37,Financial strength,0.99,2.675675675675676
Interest Coverage (MRQ),10.4,Financial strength,6.51,0.6259615384615385
