,NCLH
Price/Earnings (TTM),2.78851
Price/Sales (TTM),0.39835
Price/Book (MRQ),0.39244
Price/Cash Flow (TTM),1.63184
5yr Low,7.03
5yr High,64.27
5yr Avg Return,-0.09181666666666667
EPS Growth 5yr,0.21909289999999998
Revenue Growth 5yr,0.1563358
Dividend Growth 5yr,
Short Int Current Month,25895536.0
Short Int Prev Month,16270706.0
Short Int Pct of Float,0.1226951
Days to Cover,0.7577
Float,212.7968
Shares Outstanding,214.5253
Institutions Holding Shares,648.0
% Held by Institutions,0.8937860000000001
FCF Growth 5yr,-0.446824461505123
