,NCLH
% Above Low,0.7681
% Held by Institutions,0.8937999999999999
52-Wk Range,['7.03 - 59.78']
Annual Dividend $,
Annual Dividend %,
Ask,12.45
Ask Size,700.0
B/A Ratio,7.142857142857143
B/A Size,5000x700
Beta,2.8
Bid,12.4
Bid Size,5000.0
Closing Price,12.43
Day Change $,0.43
Day Change %,0.0358
Day High,13.13
Day Low,12.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.3
Ex-dividend Date,No dividend
Historical Volatility,1.091
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,2.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",2.79
Prev Close,12.0
Short Interest,0.12269999999999999
Today's Open,12.83
Volume,77120964.0
Volume 10-day Avg,66838564.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-05-14 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-2.375
Growth 1yr High Est,-1.0679611650485437
Growth 1yr Consensus Est,-1.7214805825242718
Growth 2yr Low Est,-1.296446608946609
Growth 2yr High Est,-5.1911234396671295
Growth 2yr Consensus Est,-3.2437850243068693
Growth 5yr Low Est,-0.5767328319426285
Growth 5yr High Est,-2.533183671053077
Growth 5yr Consensus Est,-1.5549582514978526
Growth 5yr Actual/Est,-0.6399872922812793
Growth 3yr Historic,0.0692442719881744
Price/Earnings (TTM),2.78851
Price/Sales (TTM),0.39835
Price/Book (MRQ),0.39244
Price/Cash Flow (TTM),1.63184
5yr Low,7.03
5yr High,64.27
5yr Avg Return,-0.09181666666666667
EPS Growth 5yr,0.21909289999999998
Revenue Growth 5yr,0.1563358
Dividend Growth 5yr,
Short Int Current Month,25895536.0
Short Int Prev Month,16270706.0
Short Int Pct of Float,0.1226951
Days to Cover,0.7577
Float,212.7968
Shares Outstanding,214.5253
Institutions Holding Shares,648.0
FCF Growth 5yr,-0.446824461505123
"Price/Earnings (TTM, GAAP)",2.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.43310000000000004
Operating Profit Margin (TTM),0.1797
Net Profit Margin (TTM),0.1439
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7299
EPS Growth (TTM),0.0077
Revenue Growth (MRQ),-0.22640000000000002
Revenue Growth (TTM),0.06730000000000001
Return On Equity (TTM),0.1491
Return On Assets (TTM),0.058300000000000005
Return On Investment (TTM),0.07400000000000001
Revenue Per Employee (TTM),179510.0
Total Debt/Total Capital (MRQ),0.5107
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),0.18
Interest Coverage (MRQ),3.13
newConstructs,2
researchTeam,reduce
cfra,2
theStreet,hold
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-03 00:00:00
cfra since,2020-03-03 00:00:00
theStreet since,2020-02-28 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
