,EXPE
% Above Low,0.6995
% Held by Institutions,1.0362
52-Wk Range,['40.76 - 144.00']
Annual Dividend $,1.36
Annual Dividend %,0.020499999999999997
Ask,70.0
Ask Size,2000.0
B/A Ratio,0.05
B/A Size,100x2000
Beta,1.5
Bid,69.5
Bid Size,100.0
Closing Price,69.27
Day Change $,2.81
Day Change %,0.042300000000000004
Day High,69.49
Day Low,66.05
Dividend Pay Date,2020-03-26 00:00:00
"EPS (TTM, GAAP)",3.74
Ex-dividend,2020-03-09 00:00:00
Ex-dividend Date,03/09/20
Historical Volatility,0.648
Last (size),25.0
Last (time),4:00p ET 05/08/20
Market Cap,9.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.75
Prev Close,66.46
Short Interest,0.09179999999999999
Today's Open,66.57
Volume,2760681.0
Volume 10-day Avg,3774568.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-2.4594095940959413
Growth 1yr High Est,0.22539682539682548
Growth 1yr Consensus Est,-1.117006384349558
Growth 2yr Low Est,-1.7050524582363398
Growth 2yr High Est,0.19106628834608108
Growth 2yr Consensus Est,-0.7569930849451294
Growth 5yr Low Est,-1.135467070922992
Growth 5yr High Est,0.15058069477741007
Growth 5yr Consensus Est,-0.492443188072791
Growth 5yr Actual/Est,-2.7774879307296754
Growth 3yr Historic,0.1025473507552146
Price/Earnings (TTM),17.75197
Price/Sales (TTM),0.771
Price/Book (MRQ),2.38899
Price/Cash Flow (TTM),6.27778
5yr Low,40.76
5yr High,161.0
5yr Avg Return,-0.042016666666666674
EPS Growth 5yr,0.047468399999999994
Revenue Growth 5yr,0.1592653
Dividend Growth 5yr,0.1486984
Short Int Current Month,10735767.0
Short Int Prev Month,12587506.0
Short Int Pct of Float,0.09182259999999999
Days to Cover,2.48994
Float,133.5188
Shares Outstanding,139.9891
Institutions Holding Shares,905.0
FCF Growth 5yr,0.2422401330456399
"Price/Earnings (TTM, GAAP)",17.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8208
Operating Profit Margin (TTM),0.0748
Net Profit Margin (TTM),0.047400000000000005
Annual Dividend Yield,0.020499999999999997
Dividend Change %,0.0645
"Dividend Growth Rate, 3 Years",0.09699999999999999
EPS Growth (MRQ),-0.8093000000000001
EPS Growth (TTM),0.4157
Revenue Growth (MRQ),-0.2279
Revenue Growth (TTM),0.0752
Return On Equity (TTM),0.14
Return On Assets (TTM),0.028999999999999998
Return On Investment (TTM),0.0653
Revenue Per Employee (TTM),475079.0
Total Debt/Total Capital (MRQ),0.4708
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.66
newConstructs,2
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2019-11-19 00:00:00
cfra since,2019-05-03 00:00:00
ford since,2020-01-31 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-01-11 00:00:00
