,NWSA
% Above Low,0.3835
% Held by Institutions,0.9968
52-Wk Range,['7.90 - 15.07']
Annual Dividend $,0.2
Annual Dividend %,0.0207
Ask,11.66
Ask Size,200.0
B/A Ratio,69.5
B/A Size,13900x200
Beta,1.4
Bid,10.93
Bid Size,13900.0
Closing Price,10.93
Day Change $,1.28
Day Change %,0.1326
Day High,11.06
Day Low,10.21
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",-1.57
Ex-dividend,2020-03-10 00:00:00
Ex-dividend Date,03/10/20
Historical Volatility,0.454
Last (size),100.0
Last (time),3:59p ET 05/08/20
Market Cap,6.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,9.65
Short Interest,0.029900000000000003
Today's Open,10.61
Volume,3163645.0
Volume 10-day Avg,2792463.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.926829268292683
Growth 1yr High Est,-0.6086956521739131
Growth 1yr Consensus Est,-0.767762460233298
Growth 2yr Low Est,-3.1300813008130084
Growth 2yr High Est,0.19565217391304346
Growth 2yr Consensus Est,-1.4672145634499825
Growth 5yr Low Est,-1.4843954891161817
Growth 5yr High Est,0.12831389183457054
Growth 5yr Consensus Est,-0.6780407986408056
Growth 5yr Actual/Est,-0.03550555724468768
Growth 3yr Historic,0.06691919191919193
Price/Earnings (TTM),
Price/Sales (TTM),0.60022
Price/Book (MRQ),0.72482
Price/Cash Flow (TTM),
5yr Low,7.9
5yr High,17.29
5yr Avg Return,-0.0184
EPS Growth 5yr,-0.1660925
Revenue Growth 5yr,0.0349033
Dividend Growth 5yr,
Short Int Current Month,11543393.0
Short Int Prev Month,10751912.0
Short Int Pct of Float,0.0298779
Days to Cover,3.37891
Float,507.1989
Shares Outstanding,588.2662
Institutions Holding Shares,505.0
FCF Growth 5yr,0.06673641510515797
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4396
Operating Profit Margin (TTM),-0.12050000000000001
Net Profit Margin (TTM),-0.1242
Annual Dividend Yield,0.0183
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-9.6177
EPS Growth (TTM),-4.4124
Revenue Growth (MRQ),-0.0859
Revenue Growth (TTM),-0.0728
Return On Equity (TTM),-0.10779999999999999
Return On Assets (TTM),-0.07780000000000001
Return On Investment (TTM),-0.1068
Revenue Per Employee (TTM),341107.0
Total Debt/Total Capital (MRQ),0.1152
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),1.26
Interest Coverage (MRQ),2.84
theStreet,hold
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
ford,3
creditSuisse,
theStreet since,2018-02-09 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-12-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-12-15 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,
