,ED
% Above Low,0.1959
% Held by Institutions,0.626
52-Wk Range,['62.03 - 95.10']
Annual Dividend $,3.06
Annual Dividend %,0.041299999999999996
Ask,74.6
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,0.3
Bid,74.18
Bid Size,100.0
Closing Price,74.18
Day Change $,0.11
Day Change %,0.0015
Day High,74.94
Day Low,72.88
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",4.08
Ex-dividend,2020-05-12 00:00:00
Ex-dividend Date,05/12/20
Historical Volatility,0.381
Last (size),500.0
Last (time),6:30p ET 05/08/20
Market Cap,24.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.16
Prev Close,74.07
Short Interest,0.014499999999999999
Today's Open,74.9
Volume,2325494.0
Volume 10-day Avg,2019266.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.06103286384976525
Growth 1yr High Est,0.02277904328018243
Growth 1yr Consensus Est,-0.01912691028479141
Growth 2yr Low Est,-0.011766431924882581
Growth 2yr High Est,0.03366123656214026
Growth 2yr Consensus Est,0.01094740231862884
Growth 5yr Low Est,0.005761530388187386
Growth 5yr High Est,0.03308577953539438
Growth 5yr Consensus Est,0.01942365496179088
Growth 5yr Actual/Est,0.026019260511392334
Growth 3yr Historic,0.015629554474315577
Price/Earnings (TTM),18.16336
Price/Sales (TTM),1.96736
Price/Book (MRQ),1.36862
Price/Cash Flow (TTM),7.91857
5yr Low,56.86
5yr High,95.1
5yr Avg Return,0.044366666666666665
EPS Growth 5yr,0.018753
Revenue Growth 5yr,-0.005399
Dividend Growth 5yr,0.0327096
Short Int Current Month,4845991.0
Short Int Prev Month,4194366.0
Short Int Pct of Float,0.014534199999999999
Days to Cover,1.93394
Float,333.4584
Shares Outstanding,333.9761
Institutions Holding Shares,1231.0
FCF Growth 5yr,5.050565939208543
"Price/Earnings (TTM, GAAP)",18.16
"PEG Ratio (TTM, GAAP)",6.97
Gross Profit Margin (TTM),0.5041
Operating Profit Margin (TTM),0.21280000000000002
Net Profit Margin (TTM),0.11449999999999999
Annual Dividend Yield,0.041299999999999996
Dividend Change %,0.035
"Dividend Growth Rate, 3 Years",0.0337
EPS Growth (MRQ),-0.3761
EPS Growth (TTM),-0.10400000000000001
Revenue Growth (MRQ),-0.12300000000000001
Revenue Growth (TTM),0.0192
Return On Equity (TTM),0.07740000000000001
Return On Assets (TTM),0.0257
Return On Investment (TTM),0.028999999999999998
Revenue Per Employee (TTM),844459.0
Total Debt/Total Capital (MRQ),0.5433
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.62
Interest Coverage (MRQ),2.84
newConstructs,3
researchTeam,reduce
creditSuisse,underperform
theStreet,buy
cfra,3
ford,2
marketEdge opinion,avoid
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
creditSuisse since,2017-01-24 00:00:00
theStreet since,2005-12-07 00:00:00
cfra since,2019-11-05 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
