,ED,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.16,23.92,Valuation,0.7591973244147157
Price/Sales (TTM),1.97,2.81,Valuation,0.701067615658363
Price/Book (MRQ),1.37,2.03,Valuation,0.6748768472906405
"PEG Ratio (TTM, GAAP)",6.97,3.88,Valuation,1.7963917525773196
Gross Profit Margin (TTM),0.5041,0.2261,Profitability,2.229544449358691
Operating Profit Margin (TTM),0.21280000000000002,0.2079,Profitability,1.0235690235690236
Net Profit Margin (TTM),0.11449999999999999,0.11480000000000001,Profitability,0.9973867595818814
Annual Dividend Yield,0.041299999999999996,0.0396,Dividend,1.0429292929292928
Dividend Change %,0.035,0.067,Dividend,0.5223880597014926
"Dividend Growth Rate, 3 Years",0.0337,0.0698,Dividend,0.4828080229226361
EPS Growth (MRQ),-0.3761,-0.25620000000000004,Gowth rates,1.4679937548790005
EPS Growth (TTM),-0.10400000000000001,0.0616,Gowth rates,-1.6883116883116884
Revenue Growth (MRQ),-0.12300000000000001,0.0079,Gowth rates,-15.569620253164556
Revenue Growth (TTM),0.0192,0.0746,Gowth rates,0.257372654155496
Return On Equity (TTM),0.07740000000000001,0.08140000000000001,Effectiveness,0.9508599508599508
Return On Assets (TTM),0.0257,0.0235,Effectiveness,1.0936170212765957
Return On Investment (TTM),0.028999999999999998,0.0269,Effectiveness,1.0780669144981412
Revenue Per Employee (TTM),844459.0,766250.0,Effectiveness,1.1020672104404567
Total Debt/Total Capital (MRQ),0.5433,0.5625,Financial strength,0.9658666666666667
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0,Financial strength,-inf
Quick Ratio (MRQ),0.62,0.54,Financial strength,1.1481481481481481
Interest Coverage (MRQ),2.84,3.01,Financial strength,0.9435215946843855
