,LYB
% Above Low,0.6746
% Held by Institutions,0.6678000000000001
52-Wk Range,['33.71 - 98.91']
Annual Dividend $,4.2
Annual Dividend %,0.0782
Ask,59.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,55.4
Bid Size,100.0
Closing Price,56.45
Day Change $,2.72
Day Change %,0.0506
Day High,56.52
Day Low,54.62
Dividend Pay Date,2020-03-09 00:00:00
"EPS (TTM, GAAP)",7.85
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.631
Last (size),42.0
Last (time),6:30p ET 05/08/20
Market Cap,18.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.85
Prev Close,53.73
Short Interest,0.0192
Today's Open,54.83
Volume,1918284.0
Volume 10-day Avg,2899749.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-31 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.6885416666666666
Growth 1yr High Est,-0.33852140077821014
Growth 1yr Consensus Est,-0.5135315337224384
Growth 2yr Low Est,0.10054522017837242
Growth 2yr High Est,0.01676871137560082
Growth 2yr Consensus Est,0.05865696577698662
Growth 5yr Low Est,0.05080051355826612
Growth 5yr High Est,-0.0011314719582870003
Growth 5yr Consensus Est,0.024834520799989546
Growth 5yr Actual/Est,-0.02018032985889817
Growth 3yr Historic,-0.012073463836637571
Price/Earnings (TTM),6.84556
Price/Sales (TTM),0.53614
Price/Book (MRQ),2.4481
Price/Cash Flow (TTM),4.41409
5yr Low,33.71
5yr High,121.95
5yr Avg Return,-0.06723333333333333
EPS Growth 5yr,0.0376989
Revenue Growth 5yr,-0.0530539
Dividend Growth 5yr,0.08977510000000001
Short Int Current Month,5654222.0
Short Int Prev Month,5499448.0
Short Int Pct of Float,0.019173
Days to Cover,2.13653
Float,255.5031
Shares Outstanding,333.7062
Institutions Holding Shares,1109.0
FCF Growth 5yr,-0.11091784932436807
"Price/Earnings (TTM, GAAP)",6.85
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1423
Operating Profit Margin (TTM),0.1018
Net Profit Margin (TTM),0.0816
Annual Dividend Yield,0.0782
Dividend Change %,0.0375
"Dividend Growth Rate, 3 Years",0.0761
EPS Growth (MRQ),-0.7721
EPS Growth (TTM),-0.2925
Revenue Growth (MRQ),-0.08380000000000001
Revenue Growth (TTM),-0.12029999999999999
Return On Equity (TTM),0.312
Return On Assets (TTM),0.0895
Return On Investment (TTM),0.1133
Revenue Per Employee (TTM),1750942.0
Total Debt/Total Capital (MRQ),0.6467
Change in Debt/Total Capital Quarter over Quarter,0.0033000000000000004
Quick Ratio (MRQ),1.04
Interest Coverage (MRQ),10.57
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,3
theStreet,hold
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-04-03 00:00:00
theStreet since,2020-02-04 00:00:00
ford since,2019-08-09 00:00:00
creditSuisse since,
