,FB
% Below High,0.0529
% Held by Institutions,0.7731999999999999
52-Wk Range,['137.10 - 224.20']
Annual Dividend $,
Annual Dividend %,
Ask,212.35
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,212.27
Bid Size,200.0
Closing Price,212.35
Day Change $,1.09
Day Change %,0.0052
Day High,213.21
Day Low,210.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.95
Ex-dividend Date,No dividend
Historical Volatility,0.39799999999999996
Last (size),22.0
Last (time),4:15p ET 05/08/20
Market Cap,605.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.4
Prev Close,211.26
Short Interest,0.0128
Today's Open,212.24
Volume,12524048.0
Volume 10-day Avg,26562853.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,42.0
Growth 1yr Low Est,-0.08602150537634412
Growth 1yr High Est,-0.016184971098266
Growth 1yr Consensus Est,-0.05110323823730506
Growth 2yr Low Est,0.2295382669196711
Growth 2yr High Est,0.15054441221819959
Growth 2yr Consensus Est,0.19004133956893535
Growth 5yr Low Est,0.08427254778997513
Growth 5yr High Est,0.1469154228138898
Growth 5yr Consensus Est,0.11559398530193248
Growth 5yr Actual/Est,0.1807181914496855
Growth 3yr Historic,0.06346455959590516
Price/Earnings (TTM),30.39992
Price/Sales (TTM),8.2051
Price/Book (MRQ),5.71965
Price/Cash Flow (TTM),22.33815
5yr Low,72.0
5yr High,224.2
5yr Avg Return,0.22316666666666665
EPS Growth 5yr,0.42247219999999996
Revenue Growth 5yr,0.41492939999999995
Dividend Growth 5yr,
Short Int Current Month,30460478.0
Short Int Prev Month,31163443.0
Short Int Pct of Float,0.012752
Days to Cover,1.44079
Float,2387.779
Shares Outstanding,2849.103
Institutions Holding Shares,3392.0
FCF Growth 5yr,0.25089434367492613
"Price/Earnings (TTM, GAAP)",30.4
"PEG Ratio (TTM, GAAP)",1.85
Gross Profit Margin (TTM),0.8172
Operating Profit Margin (TTM),0.36210000000000003
Net Profit Margin (TTM),0.2857
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.22690000000000002
EPS Growth (TTM),0.032100000000000004
Revenue Growth (MRQ),-0.1587
Revenue Growth (TTM),0.2444
Return On Equity (TTM),0.21850000000000003
Return On Assets (TTM),0.1691
Return On Investment (TTM),0.1881
Revenue Per Employee (TTM),1632259.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2020-05-01 00:00:00
cfra since,2018-10-10 00:00:00
ford since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2014-04-21 00:00:00
