,PGR
% Below High,0.1258
% Held by Institutions,0.7998999999999999
52-Wk Range,['62.18 - 84.96']
Annual Dividend $,0.4
Annual Dividend %,0.0053
Ask,76.17
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.5
Bid,73.53
Bid Size,200.0
Closing Price,74.27
Day Change $,-0.66
Day Change %,-0.0088
Day High,75.93
Day Low,73.93
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",6.06
Ex-dividend,2020-04-06 00:00:00
Ex-dividend Date,04/06/20
Historical Volatility,0.355
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,43.5B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",12.25
Prev Close,74.93
Short Interest,0.0079
Today's Open,75.75
Volume,4333816.0
Volume 10-day Avg,3510720.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.09251968503937014
Growth 1yr High Est,0.42184557438794723
Growth 1yr Consensus Est,0.2571826297136587
Growth 2yr Low Est,-0.041127544867702315
Growth 2yr High Est,0.11489629712774846
Growth 2yr Consensus Est,0.03688437613002307
Growth 5yr Low Est,0.260518558740987
Growth 5yr High Est,0.3110824638773114
Growth 5yr Consensus Est,0.28580051130914924
Growth 5yr Actual/Est,0.27829856242192963
Growth 3yr Historic,0.26152505814842536
Price/Earnings (TTM),12.25303
Price/Sales (TTM),1.11399
Price/Book (MRQ),3.13692
Price/Cash Flow (TTM),11.19758
5yr Low,26.8
5yr High,84.96
5yr Avg Return,0.19606666666666667
EPS Growth 5yr,0.2553971
Revenue Growth 5yr,0.15013590000000002
Dividend Growth 5yr,0.3102647
Short Int Current Month,4587879.0
Short Int Prev Month,4926746.0
Short Int Pct of Float,0.0078633
Days to Cover,1.33284
Float,583.5883
Shares Outstanding,585.2985
Institutions Holding Shares,1196.0
FCF Growth 5yr,0.2492285486978667
"Price/Earnings (TTM, GAAP)",12.25
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.11939999999999999
Net Profit Margin (TTM),0.0922
Annual Dividend Yield,0.0054
Dividend Change %,0.0541
"Dividend Growth Rate, 3 Years",0.573
EPS Growth (MRQ),-0.3553
EPS Growth (TTM),0.2054
Revenue Growth (MRQ),-0.132
Revenue Growth (TTM),0.1537
Return On Equity (TTM),0.2793
Return On Assets (TTM),0.0684
Return On Investment (TTM),
Revenue Per Employee (TTM),938683.0
Total Debt/Total Capital (MRQ),0.2701
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),35.53
newConstructs,1
researchTeam,reduce
marketEdge opinion,neutralfromlong
marketEdge,-2
cfra,4
theStreet,buy
ford,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-07-17 00:00:00
theStreet since,2011-11-08 00:00:00
ford since,2020-04-17 00:00:00
creditSuisse since,2018-08-07 00:00:00
