,JCI
% Above Low,0.3085
% Held by Institutions,0.9216
52-Wk Range,['22.78 - 44.82']
Annual Dividend $,1.04
Annual Dividend %,0.0365
Ask,34.34
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,29.0
Bid Size,100.0
Closing Price,29.8
Day Change $,1.28
Day Change %,0.0449
Day High,29.89
Day Low,28.97
Dividend Pay Date,2020-04-10 00:00:00
"EPS (TTM, GAAP)",1.42
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.386
Last (size),25.0
Last (time),6:30p ET 05/08/20
Market Cap,22.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.06
Prev Close,28.52
Short Interest,0.0132
Today's Open,28.99
Volume,4212686.0
Volume 10-day Avg,5353416.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.10880829015544036
Growth 1yr High Est,0.1071428571428572
Growth 1yr Consensus Est,-0.0008327165062915753
Growth 2yr Low Est,0.009549343294372847
Growth 2yr High Est,0.15264976958525356
Growth 2yr Consensus Est,0.0810995564398132
Growth 5yr Low Est,-0.05367313055061579
Growth 5yr High Est,0.016450893193186794
Growth 5yr Consensus Est,-0.018611118678714497
Growth 5yr Actual/Est,-0.03051755774966511
Growth 3yr Historic,-0.06187385026667194
Price/Earnings (TTM),20.05654
Price/Sales (TTM),0.89345
Price/Book (MRQ),1.17313
Price/Cash Flow (TTM),9.99291
5yr Low,22.78
5yr High,48.97
5yr Avg Return,-0.02323333333333334
EPS Growth 5yr,-0.069381
Revenue Growth 5yr,0.1832853
Dividend Growth 5yr,0.0787127
Short Int Current Month,10035932.0
Short Int Prev Month,9302851.0
Short Int Pct of Float,0.0131676
Days to Cover,1.65726
Float,736.4237
Shares Outstanding,743.8624
Institutions Holding Shares,1078.0
FCF Growth 5yr,0.422128066007066
"Price/Earnings (TTM, GAAP)",20.06
"PEG Ratio (TTM, GAAP)",1.23
Gross Profit Margin (TTM),0.32549999999999996
Operating Profit Margin (TTM),0.051100000000000007
Net Profit Margin (TTM),0.055
Annual Dividend Yield,0.0365
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.066
EPS Growth (MRQ),0.36950000000000005
EPS Growth (TTM),-0.0007000000000000001
Revenue Growth (MRQ),-0.023700000000000002
Revenue Growth (TTM),0.0016
Return On Equity (TTM),0.059000000000000004
Return On Assets (TTM),0.0294
Return On Investment (TTM),0.040999999999999995
Revenue Per Employee (TTM),228317.0
Total Debt/Total Capital (MRQ),0.27030000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0031
Quick Ratio (MRQ),0.83
Interest Coverage (MRQ),12.12
newConstructs,3
researchTeam,reduce
cfra,4
theStreet,hold
creditSuisse,outperform
ford,3
marketEdge opinion,avoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
cfra since,2018-12-15 00:00:00
theStreet since,2020-02-03 00:00:00
creditSuisse since,2020-01-06 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
