,NEM
% Below High,0.0229
% Held by Institutions,0.8347
52-Wk Range,['29.77 - 66.06']
Annual Dividend $,1.0
Annual Dividend %,0.0155
Ask,66.5
Ask Size,1400.0
B/A Ratio,0.35714285714285715
B/A Size,500x1400
Beta,0.4
Bid,64.35
Bid Size,500.0
Closing Price,64.55
Day Change $,-0.01
Day Change %,-0.0002
Day High,66.06
Day Low,64.07
Dividend Pay Date,2020-06-18 00:00:00
"EPS (TTM, GAAP)",4.4
Ex-dividend,2020-06-03 00:00:00
Ex-dividend Date,06/03/20
Historical Volatility,0.395
Last (size),9.0
Last (time),6:30p ET 05/08/20
Market Cap,51.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.68
Prev Close,64.56
Short Interest,0.0181
Today's Open,64.98
Volume,6371269.0
Volume 10-day Avg,6845589.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.051724137931034475
Growth 1yr High Est,1.481481481481481
Growth 1yr Consensus Est,0.7666028097062577
Growth 2yr Low Est,0.4602882984737139
Growth 2yr High Est,1.0877556661138748
Growth 2yr Consensus Est,0.7740219822937944
Growth 5yr Low Est,0.1887772427620368
Growth 5yr High Est,0.5438778330569374
Growth 5yr Consensus Est,0.36632753790948713
Growth 5yr Actual/Est,0.2611295231294275
Growth 3yr Historic,-0.024279288489061523
Price/Earnings (TTM),14.6793
Price/Sales (TTM),4.9263
Price/Book (MRQ),2.37444
Price/Cash Flow (TTM),9.04905
5yr Low,15.39
5yr High,65.37
5yr Avg Return,0.2155
EPS Growth 5yr,0.24546500000000002
Revenue Growth 5yr,0.0739094
Dividend Growth 5yr,0.2000549
Short Int Current Month,14548436.0
Short Int Prev Month,12912913.0
Short Int Pct of Float,0.0180862
Days to Cover,1.67568
Float,799.5325
Shares Outstanding,802.5846
Institutions Holding Shares,1191.0
FCF Growth 5yr,0.2892861431027858
"Price/Earnings (TTM, GAAP)",14.68
"PEG Ratio (TTM, GAAP)",0.65
Gross Profit Margin (TTM),0.47240000000000004
Operating Profit Margin (TTM),0.3506
Net Profit Margin (TTM),0.334
Annual Dividend Yield,0.015500000000000002
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.6485
EPS Growth (MRQ),0.5818
EPS Growth (TTM),12.4773
Revenue Growth (MRQ),-0.1301
Revenue Growth (TTM),0.45299999999999996
Return On Equity (TTM),0.2229
Return On Assets (TTM),0.11599999999999999
Return On Investment (TTM),0.1282
Revenue Per Employee (TTM),633614.0
Total Debt/Total Capital (MRQ),0.22829999999999998
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),2.81
Interest Coverage (MRQ),4.92
newConstructs,3
researchTeam,accumulate
marketEdge opinion,long
marketEdge,0
cfra,4
theStreet,buy
creditSuisse,outperform
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-12-20 00:00:00
theStreet since,2019-11-06 00:00:00
creditSuisse since,2015-04-27 00:00:00
ford since,2020-04-17 00:00:00
