,Industry,NEM,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",40.79,14.68,Valuation,0.35989213042412355
Price/Sales (TTM),1165.92,4.93,Valuation,0.004228420474818169
Price/Book (MRQ),2.07,2.37,Valuation,1.1449275362318843
"PEG Ratio (TTM, GAAP)",0.1,0.65,Valuation,6.5
Gross Profit Margin (TTM),0.3361,0.47240000000000004,Profitability,1.4055340672418923
Operating Profit Margin (TTM),-1.345,0.3506,Profitability,-0.26066914498141264
Net Profit Margin (TTM),-1.6574000000000002,0.334,Profitability,-0.2015204537226982
Annual Dividend Yield,0.0217,0.015500000000000002,Dividend,0.7142857142857143
Dividend Change %,0.0898,0.0,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.4294,0.6485,Dividend,1.5102468560782487
EPS Growth (MRQ),0.8344,0.5818,Gowth rates,0.697267497603068
EPS Growth (TTM),4.2878,12.4773,Gowth rates,2.9099538224730632
Revenue Growth (MRQ),0.1432,-0.1301,Gowth rates,-0.9085195530726257
Revenue Growth (TTM),0.33530000000000004,0.45299999999999996,Gowth rates,1.3510289293170292
Return On Equity (TTM),0.1373,0.2229,Effectiveness,1.6234522942461762
Return On Assets (TTM),0.1517,0.11599999999999999,Effectiveness,0.7646671061305207
Return On Investment (TTM),0.0728,0.1282,Effectiveness,1.760989010989011
Revenue Per Employee (TTM),1780828.0,633614.0,Effectiveness,0.3557974155842114
Total Debt/Total Capital (MRQ),0.3173,0.22829999999999998,Financial strength,0.7195083517176173
Change in Debt/Total Capital Quarter over Quarter,-0.0008,-0.0019,Financial strength,2.375
Quick Ratio (MRQ),2.2,2.81,Financial strength,1.2772727272727271
Interest Coverage (MRQ),5.95,4.92,Financial strength,0.826890756302521
