,Industry,SLG,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",33.4,15.73,Valuation,0.47095808383233534
Price/Sales (TTM),9.71,3.04,Valuation,0.31307929969104015
Price/Book (MRQ),5.73,0.74,Valuation,0.12914485165794065
"PEG Ratio (TTM, GAAP)",1.01,,Valuation,
Gross Profit Margin (TTM),0.6411,0.6298,Profitability,0.9823740446108252
Operating Profit Margin (TTM),0.2958,0.32799999999999996,Profitability,1.1088573360378633
Net Profit Margin (TTM),0.2767,0.2353,Profitability,0.8503794723527286
Annual Dividend Yield,0.0405,0.073,Dividend,1.802469135802469
Dividend Change %,0.0702,0.046200000000000005,Dividend,0.6581196581196582
"Dividend Growth Rate, 3 Years",0.0636,0.056900000000000006,Dividend,0.8946540880503145
EPS Growth (MRQ),0.5114,-0.4572,Gowth rates,-0.8940164254986313
EPS Growth (TTM),0.331,0.18230000000000002,Gowth rates,0.5507552870090635
Revenue Growth (MRQ),0.0825,-0.0177,Gowth rates,-0.21454545454545454
Revenue Growth (TTM),0.0736,0.0095,Gowth rates,0.12907608695652173
Return On Equity (TTM),0.1243,0.046900000000000004,Effectiveness,0.3773129525341915
Return On Assets (TTM),0.0357,0.022799999999999997,Effectiveness,0.6386554621848738
Return On Investment (TTM),0.0391,0.024700000000000003,Effectiveness,0.6317135549872123
Revenue Per Employee (TTM),5328915.0,1199414.0,Effectiveness,0.2250765868849475
Total Debt/Total Capital (MRQ),0.5574,0.47200000000000003,Financial strength,0.8467886616433441
Change in Debt/Total Capital Quarter over Quarter,0.0004,-0.0001,Financial strength,-0.25
Quick Ratio (MRQ),0.03,,Financial strength,
Interest Coverage (MRQ),2.37,1.73,Financial strength,0.729957805907173
