,SLG
% Above Low,0.2936
% Held by Institutions,1.0601
52-Wk Range,['37.50 - 96.39']
Annual Dividend $,3.54
Annual Dividend %,0.0757
Ask,55.0
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.7
Bid,42.36
Bid Size,1000.0
Closing Price,48.51
Day Change $,1.77
Day Change %,0.0379
Day High,49.62
Day Low,47.24
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",3.08
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.546
Last (size),13800.0
Last (time),6:30p ET 05/08/20
Market Cap,3.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",15.73
Prev Close,46.74
Short Interest,0.053899999999999997
Today's Open,47.78
Volume,810005.0
Volume 10-day Avg,1401759.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-1.0434782608695652
Growth 1yr High Est,-0.3700305810397554
Growth 1yr Consensus Est,-0.7067544209546603
Growth 2yr Low Est,0.06916996047430823
Growth 2yr High Est,-0.19715121284997483
Growth 2yr Consensus Est,-0.0639906261878333
Growth 5yr Low Est,0.06916996047430823
Growth 5yr High Est,-0.19715121284997483
Growth 5yr Consensus Est,-0.06399062618783335
Growth 5yr Actual/Est,0.36355261982062764
Growth 3yr Historic,0.5497212291453865
Price/Earnings (TTM),15.73177
Price/Sales (TTM),3.03789
Price/Book (MRQ),0.73612
Price/Cash Flow (TTM),6.84803
5yr Low,37.5
5yr High,124.68
5yr Avg Return,-0.1176
EPS Growth 5yr,-0.0182686
Revenue Growth 5yr,-0.0400548
Dividend Growth 5yr,0.11196160000000001
Short Int Current Month,4145352.0
Short Int Prev Month,4005736.0
Short Int Pct of Float,0.0538548
Days to Cover,2.43089
Float,76.4739
Shares Outstanding,77.59086
Institutions Holding Shares,552.0
FCF Growth 5yr,-0.7075130519313462
"Price/Earnings (TTM, GAAP)",15.73
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6298
Operating Profit Margin (TTM),0.32799999999999996
Net Profit Margin (TTM),0.2353
Annual Dividend Yield,0.073
Dividend Change %,0.046200000000000005
"Dividend Growth Rate, 3 Years",0.056900000000000006
EPS Growth (MRQ),-0.4572
EPS Growth (TTM),0.18230000000000002
Revenue Growth (MRQ),-0.0177
Revenue Growth (TTM),0.0095
Return On Equity (TTM),0.046900000000000004
Return On Assets (TTM),0.022799999999999997
Return On Investment (TTM),0.024700000000000003
Revenue Per Employee (TTM),1199414.0
Total Debt/Total Capital (MRQ),0.47200000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.73
newConstructs,4
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
theStreet,hold
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2018-11-05 00:00:00
cfra since,2019-06-28 00:00:00
ford since,2020-04-24 00:00:00
creditSuisse since,
