,MRO
% Above Low,0.9139
% Held by Institutions,0.8547
52-Wk Range,['3.02 - 16.02']
Annual Dividend $,
Annual Dividend %,
Ask,5.8
Ask Size,13400.0
B/A Ratio,0.16417910447761194
B/A Size,2200x13400
Beta,3.5
Bid,5.78
Bid Size,2200.0
Closing Price,5.78
Day Change $,0.27
Day Change %,0.049
Day High,5.79
Day Low,5.52
Dividend Pay Date,03/10/20
"EPS (TTM, GAAP)",0.32
Ex-dividend Date,02/18/20
Historical Volatility,0.895
Last (size),400.0
Last (time),6:30p ET 05/08/20
Market Cap,4.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.2
Prev Close,5.51
Short Interest,0.09
Today's Open,5.6
Volume,33772204.0
Volume 10-day Avg,42511445.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-3.9444444444444446
Growth 1yr High Est,-1.8235294117647058
Growth 1yr Consensus Est,-2.883986928104575
Growth 2yr Low Est,-1.9533542976939204
Growth 2yr High Est,-1.461764705882353
Growth 2yr Consensus Est,-1.7075595017881366
Growth 5yr Low Est,-1.2605695317959469
Growth 5yr High Est,-0.9858734402852051
Growth 5yr Consensus Est,-1.123221486040576
Growth 5yr Actual/Est,-1.75456797522725
Growth 3yr Historic,-0.9459154929577465
Price/Earnings (TTM),17.19886
Price/Sales (TTM),0.83657
Price/Book (MRQ),
Price/Cash Flow (TTM),1.58544
5yr Low,3.02
5yr High,29.4
5yr Avg Return,-0.1668166666666667
EPS Growth 5yr,-0.16021080000000001
Revenue Growth 5yr,-0.1464897
Dividend Growth 5yr,
Short Int Current Month,70927118.0
Short Int Prev Month,75137548.0
Short Int Pct of Float,0.0900156
Days to Cover,1.15659
Float,782.6246
Shares Outstanding,790.4176
Institutions Holding Shares,815.0
FCF Growth 5yr,-1.375765846574333
"Price/Earnings (TTM, GAAP)",17.2
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8684000000000001
Operating Profit Margin (TTM),0.11080000000000001
Net Profit Margin (TTM),0.0499
Annual Dividend Yield,
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-1.32
EPS Growth (TTM),-0.7072
Revenue Growth (MRQ),0.0
Revenue Growth (TTM),-0.12390000000000001
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),2603000.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.19
newConstructs,3
researchTeam,hold
theStreet,hold
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,neutral
cfra,3
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2019-07-11 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
creditSuisse since,2020-04-22 00:00:00
cfra since,2019-12-20 00:00:00
ford since,2020-04-09 00:00:00
