,Industry,MRO,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",-38.53,17.2,Valuation,-0.44640539839086424
Price/Sales (TTM),3.31,0.84,Valuation,0.2537764350453172
Price/Book (MRQ),2.33,,Valuation,
"PEG Ratio (TTM, GAAP)",0.36,,Valuation,
Gross Profit Margin (TTM),0.3986,0.8684000000000001,Profitability,2.178625188158555
Operating Profit Margin (TTM),0.0008,0.11080000000000001,Profitability,138.5
Net Profit Margin (TTM),-0.0022,0.0499,Profitability,-22.68181818181818
Annual Dividend Yield,0.0677,,Dividend,
Dividend Change %,0.1452,0.0,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0892,0.0,Dividend,0.0
EPS Growth (MRQ),-2.6838,-1.32,Gowth rates,0.49183992845964675
EPS Growth (TTM),-1.0761,-0.7072,Gowth rates,0.6571879936808847
Revenue Growth (MRQ),0.0493,0.0,Gowth rates,0.0
Revenue Growth (TTM),-0.0143,-0.12390000000000001,Gowth rates,8.664335664335665
Return On Equity (TTM),0.0538,,Effectiveness,
Return On Assets (TTM),0.0174,,Effectiveness,
Return On Investment (TTM),0.0278,,Effectiveness,
Revenue Per Employee (TTM),3758765.0,2603000.0,Effectiveness,0.6925146956513643
Total Debt/Total Capital (MRQ),0.3738,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0016,0.0005,Financial strength,0.3125
Quick Ratio (MRQ),0.78,,Financial strength,
Interest Coverage (MRQ),3.59,3.19,Financial strength,0.8885793871866295
