,PSA
% Above Low,0.22510000000000002
% Held by Institutions,0.7859999999999999
52-Wk Range,['155.37 - 266.76']
Annual Dividend $,8.0
Annual Dividend %,0.0436
Ask,230.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.1
Bid,170.0
Bid Size,100.0
Closing Price,190.34
Day Change $,6.83
Day Change %,0.037200000000000004
Day High,191.65
Day Low,184.94
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",7.36
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.336
Last (size),24800.0
Last (time),6:30p ET 05/08/20
Market Cap,33.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.88
Prev Close,183.51
Short Interest,0.025
Today's Open,185.76
Volume,1126677.0
Volume 10-day Avg,1112941.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.07230559345156895
Growth 1yr High Est,-0.013784461152882233
Growth 1yr Consensus Est,-0.04304502730222559
Growth 2yr Low Est,-0.0390939731963727
Growth 2yr High Est,-0.01070417466792778
Growth 2yr Consensus Est,-0.02489907393215024
Growth 5yr Low Est,0.0017088963565916326
Growth 5yr High Est,0.0002786443894865487
Growth 5yr Consensus Est,0.0009937703730390907
Growth 5yr Actual/Est,0.023959826344665064
Growth 3yr Historic,0.022532357208862597
Price/Earnings (TTM),25.87808
Price/Sales (TTM),11.57675
Price/Book (MRQ),6.71161
Price/Cash Flow (TTM),18.27368
5yr Low,155.37
5yr High,277.6
5yr Avg Return,0.0034999999999999966
EPS Growth 5yr,0.0681204
Revenue Growth 5yr,0.0550878
Dividend Growth 5yr,0.0739409
Short Int Current Month,3782850.0
Short Int Prev Month,4200618.0
Short Int Pct of Float,0.0249783
Days to Cover,3.15993
Float,151.6065
Shares Outstanding,174.7927
Institutions Holding Shares,1014.0
FCF Growth 5yr,-0.013495698101898036
"Price/Earnings (TTM, GAAP)",25.88
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7176
Operating Profit Margin (TTM),0.5086999999999999
Net Profit Margin (TTM),0.5307000000000001
Annual Dividend Yield,0.042
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.031000000000000003
EPS Growth (MRQ),-0.0433
EPS Growth (TTM),-0.1481
Revenue Growth (MRQ),-0.002
Revenue Growth (TTM),0.0362
Return On Equity (TTM),0.257
Return On Assets (TTM),0.1344
Return On Investment (TTM),0.1391
Revenue Per Employee (TTM),487096.0
Total Debt/Total Capital (MRQ),0.2126
Change in Debt/Total Capital Quarter over Quarter,0.0059
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,reduce
cfra,2
theStreet,buy
ford,3
marketEdge opinion,avoid
marketEdge,0
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-28 00:00:00
cfra since,2020-02-28 00:00:00
theStreet since,2009-11-06 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
