,Industry,Type,USB,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.58,Valuation,8.98,0.9373695198329854
Price/Sales (TTM),2.42,Valuation,2.27,0.9380165289256198
Price/Book (MRQ),0.98,Valuation,1.15,1.173469387755102
"PEG Ratio (TTM, GAAP)",0.92,Valuation,4.53,4.923913043478261
Gross Profit Margin (TTM),,Profitability,,
Operating Profit Margin (TTM),0.2975,Profitability,0.3443,1.157310924369748
Net Profit Margin (TTM),0.24170000000000003,Profitability,0.278,1.1501861812163838
Annual Dividend Yield,0.042699999999999995,Dividend,0.0483,1.1311475409836067
Dividend Change %,0.2285,Dividend,0.2047,0.8958424507658642
"Dividend Growth Rate, 3 Years",0.244,Dividend,0.1355,0.5553278688524591
EPS Growth (MRQ),-0.6215,Gowth rates,-0.2079,0.33451327433628314
EPS Growth (TTM),-0.1036,Gowth rates,-0.0755,0.7287644787644788
Revenue Growth (MRQ),-0.016,Gowth rates,-0.0327,2.0437499999999997
Revenue Growth (TTM),0.0529,Gowth rates,0.031400000000000004,0.5935727788279773
Return On Equity (TTM),0.09550000000000002,Effectiveness,0.1322,1.3842931937172773
Return On Assets (TTM),0.0096,Effectiveness,0.0126,1.3125000000000002
Return On Investment (TTM),0.0001,Effectiveness,,
Revenue Per Employee (TTM),,Effectiveness,,
Total Debt/Total Capital (MRQ),0.0005,Financial strength,,
Change in Debt/Total Capital Quarter over Quarter,0.3821,Financial strength,0.0026000000000000003,0.006804501439413767
Quick Ratio (MRQ),,Financial strength,,
Interest Coverage (MRQ),0.0,Financial strength,,
