,USB
% Above Low,0.21550000000000002
% Held by Institutions,0.7462000000000001
52-Wk Range,['28.59 - 61.11']
Annual Dividend $,1.68
Annual Dividend %,0.049100000000000005
Ask,34.99
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.2
Bid,34.81
Bid Size,100.0
Closing Price,34.75
Day Change $,0.55
Day Change %,0.0161
Day High,35.42
Day Low,34.41
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",3.87
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.478
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,52.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.98
Prev Close,34.2
Short Interest,0.0098
Today's Open,35.0
Volume,5617772.0
Volume 10-day Avg,7337296.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-1.268065268065268
Growth 1yr High Est,-0.30180180180180183
Growth 1yr Consensus Est,-0.7849335349335349
Growth 2yr Low Est,-1.7949021992500254
Growth 2yr High Est,0.05877651845393783
Growth 2yr Consensus Est,-0.8680628403980437
Growth 5yr Low Est,-0.8284837332438533
Growth 5yr High Est,0.09350992703284727
Growth 5yr Consensus Est,-0.367486903105503
Growth 5yr Actual/Est,0.050076382458018404
Growth 3yr Historic,0.05347995902164171
Price/Earnings (TTM),8.98365
Price/Sales (TTM),2.26782
Price/Book (MRQ),1.14904
Price/Cash Flow (TTM),7.89853
5yr Low,28.59
5yr High,61.11
5yr Avg Return,-0.0026333333333333304
EPS Growth 5yr,0.061926699999999994
Revenue Growth 5yr,0.0742534
Dividend Growth 5yr,0.1000022
Short Int Current Month,14917777.0
Short Int Prev Month,15533520.0
Short Int Pct of Float,0.0098163
Days to Cover,1.93757
Float,1491.023
Shares Outstanding,1506.289
Institutions Holding Shares,1898.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",8.98
"PEG Ratio (TTM, GAAP)",4.53
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3443
Net Profit Margin (TTM),0.278
Annual Dividend Yield,0.0483
Dividend Change %,0.2047
"Dividend Growth Rate, 3 Years",0.1355
EPS Growth (MRQ),-0.2079
EPS Growth (TTM),-0.0755
Revenue Growth (MRQ),-0.0327
Revenue Growth (TTM),0.031400000000000004
Return On Equity (TTM),0.1322
Return On Assets (TTM),0.0126
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0026000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,reduce
creditSuisse,underperform
marketEdge opinion,neutralfromavoid
marketEdge,1
theStreet,hold
cfra,4
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
creditSuisse since,2020-01-21 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-10 00:00:00
cfra since,2018-07-18 00:00:00
ford since,2019-11-29 00:00:00
