,GD
% Above Low,0.3461
% Held by Institutions,0.8349
52-Wk Range,['100.55 - 193.76']
Annual Dividend $,4.4
Annual Dividend %,0.0346
Ask,135.88
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,135.4
Bid Size,100.0
Closing Price,135.35
Day Change $,8.22
Day Change %,0.0647
Day High,135.58
Day Low,128.8
Dividend Pay Date,2020-05-08 00:00:00
"EPS (TTM, GAAP)",11.85
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.36100000000000004
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,38.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.73
Prev Close,127.13
Short Interest,0.0104
Today's Open,128.8
Volume,2917105.0
Volume 10-day Avg,2575327.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.08091993185689961
Growth 1yr High Est,-0.025833333333333375
Growth 1yr Consensus Est,-0.05337663259511649
Growth 2yr Low Est,-0.02146089271250906
Growth 2yr High Est,0.07134338465925294
Growth 2yr Consensus Est,0.02494124597337194
Growth 5yr Low Est,0.05368396805815989
Growth 5yr High Est,0.08524453042773383
Growth 5yr Consensus Est,0.06946424924294686
Growth 5yr Actual/Est,0.05709733108776191
Growth 3yr Historic,0.048843594084504505
Price/Earnings (TTM),10.72631
Price/Sales (TTM),0.93901
Price/Book (MRQ),2.79506
Price/Cash Flow (TTM),8.51882
5yr Low,100.55
5yr High,230.0
5yr Avg Return,0.013499999999999996
EPS Growth 5yr,0.0887329
Revenue Growth 5yr,0.0498622
Dividend Growth 5yr,0.10517620000000001
Short Int Current Month,2839114.0
Short Int Prev Month,3180120.0
Short Int Pct of Float,0.010399499999999999
Days to Cover,1.76826
Float,266.6266
Shares Outstanding,286.8645
Institutions Holding Shares,1355.0
FCF Growth 5yr,0.07179346114845764
"Price/Earnings (TTM, GAAP)",10.73
"PEG Ratio (TTM, GAAP)",2.23
Gross Profit Margin (TTM),0.1782
Operating Profit Margin (TTM),0.1178
Net Profit Margin (TTM),0.08869999999999999
Annual Dividend Yield,0.0346
Dividend Change %,0.0992
"Dividend Growth Rate, 3 Years",0.1034
EPS Growth (MRQ),-0.3057
EPS Growth (TTM),0.0644
Revenue Growth (MRQ),-0.18789999999999998
Revenue Growth (TTM),0.0242
Return On Equity (TTM),0.27090000000000003
Return On Assets (TTM),0.0681
Return On Investment (TTM),0.1023
Revenue Per Employee (TTM),377434.0
Total Debt/Total Capital (MRQ),0.5769
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),0.97
Interest Coverage (MRQ),8.79
newConstructs,2
researchTeam,reduce
cfra,5
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
cfra since,2020-03-13 00:00:00
theStreet since,2020-03-16 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-02-15 00:00:00
