,GD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.73,26.74,Valuation,0.40127150336574424
Price/Sales (TTM),0.94,11.03,Valuation,0.08522212148685404
Price/Book (MRQ),2.8,8.48,Valuation,0.330188679245283
"PEG Ratio (TTM, GAAP)",2.23,0.59,Valuation,3.7796610169491527
Gross Profit Margin (TTM),0.1782,0.21910000000000002,Profitability,0.8133272478320401
Operating Profit Margin (TTM),0.1178,-0.37939999999999996,Profitability,-0.3104902477596205
Net Profit Margin (TTM),0.08869999999999999,-0.4044,Profitability,-0.21933728981206724
Annual Dividend Yield,0.0346,0.018000000000000002,Dividend,1.9222222222222218
Dividend Change %,0.0992,0.07490000000000001,Dividend,1.3244325767690253
"Dividend Growth Rate, 3 Years",0.1034,0.094,Dividend,1.1
EPS Growth (MRQ),-0.3057,-4.399,Gowth rates,0.06949306660604683
EPS Growth (TTM),0.0644,-0.4537,Gowth rates,-0.1419440158695173
Revenue Growth (MRQ),-0.18789999999999998,0.1533,Gowth rates,-1.2257012393998694
Revenue Growth (TTM),0.0242,0.1242,Gowth rates,0.19484702093397743
Return On Equity (TTM),0.27090000000000003,0.5518,Effectiveness,0.49093874592243575
Return On Assets (TTM),0.0681,0.053,Effectiveness,1.2849056603773583
Return On Investment (TTM),0.1023,0.0675,Effectiveness,1.5155555555555555
Revenue Per Employee (TTM),377434.0,377657.0,Effectiveness,0.9994095171014968
Total Debt/Total Capital (MRQ),0.5769,0.6849,Financial strength,0.8423127463863338
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002,0.001,Financial strength,1.3
Quick Ratio (MRQ),0.97,1.14,Financial strength,0.8508771929824562
Interest Coverage (MRQ),8.79,8.74,Financial strength,1.0057208237986268
