,Industry,NBL,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",-38.53,,Valuation,
Price/Sales (TTM),3.31,0.97,Valuation,0.2930513595166163
Price/Book (MRQ),2.33,0.51,Valuation,0.21888412017167383
"PEG Ratio (TTM, GAAP)",0.36,,Valuation,
Gross Profit Margin (TTM),0.3986,0.8059999999999999,Profitability,2.022077270446563
Operating Profit Margin (TTM),0.0008,-0.30710000000000004,Profitability,-383.87500000000006
Net Profit Margin (TTM),-0.0022,-0.3229,Profitability,146.77272727272728
Annual Dividend Yield,0.0677,0.009000000000000001,Dividend,0.13293943870014774
Dividend Change %,0.1452,0.09300000000000001,Dividend,0.6404958677685951
"Dividend Growth Rate, 3 Years",0.0892,0.0552,Dividend,0.6188340807174888
EPS Growth (MRQ),-2.6838,-72.2312,Gowth rates,26.913778970116997
EPS Growth (TTM),-1.0761,-5.766699999999999,Gowth rates,5.358888579128333
Revenue Growth (MRQ),0.0493,0.0492,Gowth rates,0.9979716024340771
Revenue Growth (TTM),-0.0143,-0.1099,Gowth rates,7.685314685314685
Return On Equity (TTM),0.0538,-0.16949999999999998,Effectiveness,-3.1505576208178434
Return On Assets (TTM),0.0174,-0.0688,Effectiveness,-3.954022988505747
Return On Investment (TTM),0.0278,-0.0793,Effectiveness,-2.852517985611511
Revenue Per Employee (TTM),3758765.0,1944785.0,Effectiveness,0.5173999970735068
Total Debt/Total Capital (MRQ),0.3738,0.4508,Financial strength,1.2059925093632957
Change in Debt/Total Capital Quarter over Quarter,0.0016,0.0016,Financial strength,1.0
Quick Ratio (MRQ),0.78,0.66,Financial strength,0.8461538461538461
Interest Coverage (MRQ),3.59,-0.52,Financial strength,-0.14484679665738162
