,NBL
% Above Low,2.674
% Held by Institutions,0.9736
52-Wk Range,['2.73 - 27.31']
Annual Dividend $,0.08
Annual Dividend %,0.009000000000000001
Ask,10.1
Ask Size,700.0
B/A Ratio,1.2857142857142858
B/A Size,900x700
Beta,2.7
Bid,10.03
Bid Size,900.0
Closing Price,10.03
Day Change $,1.19
Day Change %,0.1346
Day High,10.09
Day Low,9.11
Dividend Pay Date,2020-05-26 00:00:00
"EPS (TTM, GAAP)",-3.16
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.978
Last (size),30.0
Last (time),4:00p ET 05/08/20
Market Cap,4.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,8.84
Short Interest,0.056900000000000006
Today's Open,9.15
Volume,12635337.0
Volume 10-day Avg,10932047.0
Volume Past Day,(Above Average)
Next Earnings Announcement,
Growth Analysts,27.0
Growth 1yr Low Est,-4.19718309859155
Growth 1yr High Est,-1.0471698113207548
Growth 1yr Consensus Est,-2.6221764549561524
Growth 2yr Low Est,-2.206521064714277
Growth 2yr High Est,-3.123584905660377
Growth 2yr Consensus Est,-2.665052985187327
Growth 5yr Low Est,-1.4710140431428513
Growth 5yr High Est,-2.082389937106918
Growth 5yr Consensus Est,-1.7767019901248846
Growth 5yr Actual/Est,0.5373067568632085
Growth 3yr Historic,0.12858422939068104
Price/Earnings (TTM),
Price/Sales (TTM),0.96833
Price/Book (MRQ),0.50884
Price/Cash Flow (TTM),5.62494
5yr Low,2.73
5yr High,47.35
5yr Avg Return,-0.16273333333333329
EPS Growth 5yr,
Revenue Growth 5yr,-0.0279954
Dividend Growth 5yr,-0.0712094
Short Int Current Month,27243898.0
Short Int Prev Month,26190620.0
Short Int Pct of Float,0.056927599999999995
Days to Cover,2.78734
Float,478.79
Shares Outstanding,485.0399
Institutions Holding Shares,640.0
FCF Growth 5yr,0.357935746444128
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8059999999999999
Operating Profit Margin (TTM),-0.30710000000000004
Net Profit Margin (TTM),-0.3229
Annual Dividend Yield,0.009000000000000001
Dividend Change %,0.09300000000000001
"Dividend Growth Rate, 3 Years",0.0552
EPS Growth (MRQ),-72.2312
EPS Growth (TTM),-5.766699999999999
Revenue Growth (MRQ),0.0492
Revenue Growth (TTM),-0.1099
Return On Equity (TTM),-0.16949999999999998
Return On Assets (TTM),-0.0688
Return On Investment (TTM),-0.0793
Revenue Per Employee (TTM),1944785.0
Total Debt/Total Capital (MRQ),0.4508
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),-0.52
newConstructs,4
researchTeam,reduce
creditSuisse,outperform
marketEdge opinion,neutralfromavoid
marketEdge,3
theStreet,sell
cfra,4
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-02-22 00:00:00
creditSuisse since,2017-12-11 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-11-14 00:00:00
cfra since,2015-08-03 00:00:00
ford since,2020-04-09 00:00:00
