,DGX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.96,22.76,Valuation,0.8330404217926186
Price/Sales (TTM),1.88,10.65,Valuation,0.1765258215962441
Price/Book (MRQ),2.54,6.03,Valuation,0.4212271973466003
"PEG Ratio (TTM, GAAP)",4.39,62.83,Valuation,0.06987108069393601
Gross Profit Margin (TTM),0.34299999999999997,0.1463,Profitability,2.344497607655502
Operating Profit Margin (TTM),0.1512,0.028300000000000002,Profitability,5.342756183745583
Net Profit Margin (TTM),0.099,0.0068000000000000005,Profitability,14.558823529411764
Annual Dividend Yield,0.0209,0.0122,Dividend,1.7131147540983604
Dividend Change %,0.08720000000000001,0.10099999999999999,Dividend,0.8633663366336636
"Dividend Growth Rate, 3 Years",0.10300000000000001,0.10400000000000001,Dividend,0.9903846153846154
EPS Growth (MRQ),-0.6042000000000001,0.608,Gowth rates,-0.9937500000000001
EPS Growth (TTM),0.1093,0.0036,Gowth rates,30.36111111111111
Revenue Growth (MRQ),-0.054000000000000006,0.1227,Gowth rates,-0.4400977995110025
Revenue Growth (TTM),0.0158,0.21739999999999998,Gowth rates,0.07267709291628337
Return On Equity (TTM),0.1409,0.1627,Effectiveness,0.8660110633066994
Return On Assets (TTM),0.0632,0.050800000000000005,Effectiveness,1.2440944881889764
Return On Investment (TTM),0.0746,0.016200000000000003,Effectiveness,4.604938271604937
Revenue Per Employee (TTM),162915.0,1202685.0,Effectiveness,0.1354594095710847
Total Debt/Total Capital (MRQ),0.4112,0.4826,Financial strength,0.852051388313303
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.0022,Financial strength,-0.2727272727272727
Quick Ratio (MRQ),1.27,0.37,Financial strength,3.4324324324324325
Interest Coverage (MRQ),4.88,10.31,Financial strength,0.4733268671193016
