,DGX
% Below High,0.10220000000000001
% Held by Institutions,0.9114
52-Wk Range,['73.02 - 125.00']
Annual Dividend $,2.24
Annual Dividend %,0.0209
Ask,113.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.4
Bid,109.0
Bid Size,100.0
Change Since Close,0.03| |(0.03%)
Closing Price,112.22
Day Change $,4.86
Day Change %,0.0453
Day High,112.97
Day Low,107.28
Dividend Pay Date,2020-04-21 00:00:00
"EPS (TTM, GAAP)",5.66
Ex-dividend,2020-04-06 00:00:00
Ex-dividend Date,04/06/20
Historical Volatility,0.375
Last (size),4.0
Last (time),6:30p ET 05/08/20
Last Trade,112.25
Market Cap,15.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.96
Prev Close,107.36
Short Interest,0.0433
Today's Open,108.87
Volume,1674045.0
Volume 10-day Avg,2434892.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.5787037037037037
Growth 1yr High Est,-0.006125574272588086
Growth 1yr Consensus Est,-0.2924146389881459
Growth 2yr Low Est,0.15387159137159145
Growth 2yr High Est,0.18800038697772758
Growth 2yr Consensus Est,0.17093598917465952
Growth 5yr Low Est,0.11432776314893761
Growth 5yr High Est,0.13027339757497974
Growth 5yr Consensus Est,0.12230058036195868
Growth 5yr Actual/Est,0.11482058697640396
Growth 3yr Historic,0.03812360772212858
Price/Earnings (TTM),18.95808
Price/Sales (TTM),1.87507
Price/Book (MRQ),2.54309
Price/Cash Flow (TTM),13.19618
5yr Low,59.66
5yr High,125.0
5yr Avg Return,0.09456666666666667
EPS Growth 5yr,0.1015105
Revenue Growth 5yr,0.0077081
Dividend Growth 5yr,0.1044581
Short Int Current Month,5750955.0
Short Int Prev Month,5979165.0
Short Int Pct of Float,0.0432677
Days to Cover,3.40972
Float,133.0537
Shares Outstanding,133.7318
Institutions Holding Shares,994.0
FCF Growth 5yr,0.10267958379350592
"Price/Earnings (TTM, GAAP)",18.96
"PEG Ratio (TTM, GAAP)",4.39
Gross Profit Margin (TTM),0.34299999999999997
Operating Profit Margin (TTM),0.1512
Net Profit Margin (TTM),0.099
Annual Dividend Yield,0.0209
Dividend Change %,0.08720000000000001
"Dividend Growth Rate, 3 Years",0.10300000000000001
EPS Growth (MRQ),-0.6042000000000001
EPS Growth (TTM),0.1093
Revenue Growth (MRQ),-0.054000000000000006
Revenue Growth (TTM),0.0158
Return On Equity (TTM),0.1409
Return On Assets (TTM),0.0632
Return On Investment (TTM),0.0746
Revenue Per Employee (TTM),162915.0
Total Debt/Total Capital (MRQ),0.4112
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),1.27
Interest Coverage (MRQ),4.88
newConstructs,2
researchTeam,hold
cfra,3
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2020-04-23 00:00:00
theStreet since,2020-04-06 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-03-18 00:00:00
