,CTVA
% Above Low,0.2748
% Held by Institutions,0.8078
52-Wk Range,['20.38 - 32.78']
Annual Dividend $,0.52
Annual Dividend %,0.0197
Ask,27.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,25.05
Bid Size,100.0
Change Since Close,0.07| |(0.27%)
Closing Price,25.98
Day Change $,-0.47
Day Change %,-0.0178
Day High,26.97
Day Low,25.46
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",0.24
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.527
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,26.05
Market Cap,19.4B
"P/E Ratio (TTM, GAAP)",111.38
Prev Close,26.45
Short Interest,0.011899999999999999
Today's Open,26.72
Volume,4765234.0
Volume 10-day Avg,3522174.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.01754385964912286
Growth 2yr High Est,0.47499999999999987
Growth 2yr Consensus Est,0.24627192982456136
Growth 5yr Low Est,0.01754385964912286
Growth 5yr High Est,0.47499999999999987
Growth 5yr Consensus Est,0.24627192982456136
Growth 5yr Actual/Est,0.0874125874125874
Growth 3yr Historic,0.0
Price/Earnings (TTM),111.3778
Price/Sales (TTM),1.37571
Price/Book (MRQ),0.83082
Price/Cash Flow (TTM),16.2314
5yr Low,20.38
5yr High,32.78
5yr Avg Return,-0.06745
Short Int Current Month,8922647.0
Short Int Prev Month,8448151.0
Short Int Pct of Float,0.0119262
Days to Cover,1.87863
Float,748.9919
Shares Outstanding,749.2833
Institutions Holding Shares,1229.0
FCF Growth 5yr,2.486559139784946
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",111.38
"PEG Ratio (TTM, GAAP)",12.71
Gross Profit Margin (TTM),0.4007
Operating Profit Margin (TTM),0.0192
Net Profit Margin (TTM),0.013500000000000002
Annual Dividend Yield,0.0197
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),7.0001999999999995
EPS Growth (TTM),1.0272000000000001
Revenue Growth (MRQ),0.3262
Revenue Growth (TTM),0.037200000000000004
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),686000.0
Total Debt/Total Capital (MRQ),0.0953
Change in Debt/Total Capital Quarter over Quarter,-0.0096
Quick Ratio (MRQ),1.12
Interest Coverage (MRQ),9.37
newConstructs,5
researchTeam,hold
creditSuisse,neutral
cfra,4
ford,3
theStreet,
marketEdge,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-11-01 00:00:00
creditSuisse since,2019-06-03 00:00:00
cfra since,2019-06-13 00:00:00
ford since,2019-11-01 00:00:00
theStreet since,
marketEdge since,
