,PFE
% Below High,0.16469999999999999
% Held by Institutions,0.6970000000000001
52-Wk Range,['27.88 - 44.56']
Annual Dividend $,1.52
Annual Dividend %,0.041100000000000005
Ask,37.3
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.7
Bid,37.25
Bid Size,100.0
Closing Price,37.22
Day Change $,0.26
Day Change %,0.006999999999999999
Day High,37.38
Day Low,37.04
Dividend Pay Date,2020-06-05 00:00:00
"EPS (TTM, GAAP)",2.74
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.309
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,206.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.6
Prev Close,36.96
Short Interest,0.008
Today's Open,37.25
Volume,18881725.0
Volume 10-day Avg,23855600.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.0071428571428571175
Growth 1yr High Est,-0.006688963210702337
Growth 1yr Consensus Est,0.0002269469660773904
Growth 2yr Low Est,0.010663627152988853
Growth 2yr High Est,0.10608312782225826
Growth 2yr Consensus Est,0.05837337748762356
Growth 5yr Low Est,0.031246767435554823
Growth 5yr High Est,0.08641831313090159
Growth 5yr Consensus Est,0.05883254028322821
Growth 5yr Actual/Est,0.04375333120136449
Growth 3yr Historic,0.028852201257861643
Price/Earnings (TTM),13.59863
Price/Sales (TTM),4.08115
Price/Book (MRQ),3.18034
Price/Cash Flow (TTM),9.76161
5yr Low,27.88
5yr High,46.47
5yr Avg Return,0.021633333333333334
EPS Growth 5yr,0.1471627
Revenue Growth 5yr,0.0085025
Dividend Growth 5yr,0.0672492
Short Int Current Month,44305920.0
Short Int Prev Month,46447256.0
Short Int Pct of Float,0.0079909
Days to Cover,1.88439
Float,5545.243
Shares Outstanding,5554.834
Institutions Holding Shares,3098.0
FCF Growth 5yr,-0.045743553809497815
"Price/Earnings (TTM, GAAP)",13.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8037000000000001
Operating Profit Margin (TTM),0.3215
Net Profit Margin (TTM),0.3059
Annual Dividend Yield,0.0408
Dividend Change %,0.0588
"Dividend Growth Rate, 3 Years",0.06269999999999999
EPS Growth (MRQ),6.1646
EPS Growth (TTM),0.5156000000000001
Revenue Growth (MRQ),-0.052000000000000005
Revenue Growth (TTM),-0.05940000000000001
Return On Equity (TTM),0.24989999999999998
Return On Assets (TTM),0.09630000000000001
Return On Investment (TTM),0.1202
Revenue Per Employee (TTM),573726.0
Total Debt/Total Capital (MRQ),0.44450000000000006
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),0.78
Interest Coverage (MRQ),6.86
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,hold
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-12 00:00:00
cfra since,2016-09-26 00:00:00
ford since,2020-01-31 00:00:00
creditSuisse since,
