,Industry,PFE,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",35.16,13.6,Valuation,0.38680318543799774
Price/Sales (TTM),12.99,4.08,Valuation,0.3140877598152425
Price/Book (MRQ),10.51,3.18,Valuation,0.30256898192197906
"PEG Ratio (TTM, GAAP)",13.05,,Valuation,
Gross Profit Margin (TTM),0.6781999999999999,0.8037000000000001,Profitability,1.1850486582129167
Operating Profit Margin (TTM),-1.0334999999999999,0.3215,Profitability,-0.3110788582486696
Net Profit Margin (TTM),-1.0416,0.3059,Profitability,-0.2936827956989247
Annual Dividend Yield,0.0253,0.0408,Dividend,1.6126482213438738
Dividend Change %,0.0805,0.0588,Dividend,0.7304347826086957
"Dividend Growth Rate, 3 Years",0.058499999999999996,0.06269999999999999,Dividend,1.0717948717948718
EPS Growth (MRQ),0.0702,6.1646,Gowth rates,87.81481481481482
EPS Growth (TTM),0.0269,0.5156000000000001,Gowth rates,19.16728624535316
Revenue Growth (MRQ),0.4455,-0.052000000000000005,Gowth rates,-0.11672278338945007
Revenue Growth (TTM),0.12029999999999999,-0.05940000000000001,Gowth rates,-0.49376558603491283
Return On Equity (TTM),0.3835,0.24989999999999998,Effectiveness,0.6516297262059974
Return On Assets (TTM),0.0689,0.09630000000000001,Effectiveness,1.397677793904209
Return On Investment (TTM),0.09140000000000001,0.1202,Effectiveness,1.3150984682713347
Revenue Per Employee (TTM),715549.0,573726.0,Effectiveness,0.8017983394568367
Total Debt/Total Capital (MRQ),0.4607,0.44450000000000006,Financial strength,0.9648361189494249
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002,0.0019,Financial strength,1.4615384615384615
Quick Ratio (MRQ),1.12,0.78,Financial strength,0.6964285714285714
Interest Coverage (MRQ),11.86,6.86,Financial strength,0.5784148397976392
