,AVY
% Below High,0.2256
% Held by Institutions,0.8926999999999999
52-Wk Range,['76.96 - 141.09']
Annual Dividend $,2.32
Annual Dividend %,0.0222
Ask,111.79
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,95.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,109.26
Day Change $,4.94
Day Change %,0.047400000000000005
Day High,109.53
Day Low,105.93
Dividend Pay Date,2020-06-17 00:00:00
"EPS (TTM, GAAP)",6.9
Ex-dividend,2020-06-02 00:00:00
Ex-dividend Date,06/02/20
Historical Volatility,0.443
Last (size),113.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,9.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",15.11
Prev Close,104.32
Short Interest,0.0131
Today's Open,106.35
Volume,379357.0
Volume 10-day Avg,511418.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.20061255742725892
Growth 1yr High Est,-0.0015082956259426794
Growth 1yr Consensus Est,-0.1010604265266008
Growth 2yr Low Est,-0.01697294538029609
Growth 2yr High Est,0.06420053496648492
Growth 2yr Consensus Est,0.023613794793094417
Growth 5yr Low Est,0.06971930962277709
Growth 5yr High Est,0.11162276518755831
Growth 5yr Consensus Est,0.0906710374051677
Growth 5yr Actual/Est,0.07838617183517663
Growth 3yr Historic,0.07527722772277229
Price/Earnings (TTM),15.10892
Price/Sales (TTM),1.23267
Price/Book (MRQ),7.40758
Price/Cash Flow (TTM),11.30857
5yr Low,53.56
5yr High,141.09
5yr Avg Return,0.15416666666666667
EPS Growth 5yr,0.0668759
Revenue Growth 5yr,0.0223515
Dividend Growth 5yr,0.1101987
Short Int Current Month,1085320.0
Short Int Prev Month,1136615.0
Short Int Pct of Float,0.01312
Days to Cover,1.81675
Float,82.73215
Shares Outstanding,83.34004
Institutions Holding Shares,796.0
FCF Growth 5yr,0.2590955934612651
"Price/Earnings (TTM, GAAP)",15.11
"PEG Ratio (TTM, GAAP)",1.7
Gross Profit Margin (TTM),0.27280000000000004
Operating Profit Margin (TTM),0.1014
Net Profit Margin (TTM),0.08320000000000001
Annual Dividend Yield,0.0222
Dividend Change %,0.1244
"Dividend Growth Rate, 3 Years",0.122
EPS Growth (MRQ),-0.16829999999999998
EPS Growth (TTM),2.1529
Revenue Growth (MRQ),-0.0281
Revenue Growth (TTM),-0.0098
Return On Equity (TTM),0.5401
Return On Assets (TTM),0.10099999999999999
Return On Investment (TTM),0.1673
Revenue Per Employee (TTM),235100.0
Total Debt/Total Capital (MRQ),0.7062
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),0.86
Interest Coverage (MRQ),10.86
newConstructs,1
researchTeam,reduce
cfra,3
theStreet,buy
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
cfra since,2019-01-30 00:00:00
theStreet since,2012-04-26 00:00:00
ford since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-07-23 00:00:00
