,EW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",41.64,41.85,Valuation,0.9949820788530466
Price/Sales (TTM),10.04,9.88,Valuation,1.0161943319838056
Price/Book (MRQ),11.54,13.88,Valuation,0.8314121037463976
"PEG Ratio (TTM, GAAP)",4.06,0.58,Valuation,7.0
Gross Profit Margin (TTM),0.7440000000000001,0.6071,Profitability,1.2254982704661508
Operating Profit Margin (TTM),0.2745,-0.0415,Profitability,-6.614457831325302
Net Profit Margin (TTM),0.2477,-0.045,Profitability,-5.504444444444445
Annual Dividend Yield,,0.0079,Dividend,
Dividend Change %,,0.0582,Dividend,
"Dividend Growth Rate, 3 Years",,0.049,Dividend,
EPS Growth (MRQ),0.1017,8.9487,Gowth rates,0.011364779241677562
EPS Growth (TTM),0.3976,0.7232,Gowth rates,0.5497787610619469
Revenue Growth (MRQ),-0.038700000000000005,0.1048,Gowth rates,-0.36927480916030536
Revenue Growth (TTM),0.1734,0.1169,Gowth rates,1.4833190761334474
Return On Equity (TTM),0.3023,0.2389,Effectiveness,1.2653830054416073
Return On Assets (TTM),0.1924,0.0707,Effectiveness,2.721357850070721
Return On Investment (TTM),0.2188,0.08630000000000002,Effectiveness,2.535341830822711
Revenue Per Employee (TTM),322568.0,329144.0,Effectiveness,0.9800209027051989
Total Debt/Total Capital (MRQ),0.1323,0.35850000000000004,Financial strength,0.36903765690376567
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.0015,Financial strength,-0.6666666666666666
Quick Ratio (MRQ),2.47,1.99,Financial strength,1.241206030150754
Interest Coverage (MRQ),,10.05,Financial strength,
