,INFO
Next Earnings Announcement,2020-06-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.05058365758754868
Growth 1yr High Est,0.07692307692307687
Growth 1yr Consensus Est,0.06375336725531278
Growth 2yr Low Est,0.08640293990488535
Growth 2yr High Est,0.11524725274725278
Growth 2yr Consensus Est,0.10082509632606906
Growth 5yr Low Est,0.10449231962564531
Growth 5yr High Est,0.11670680574883635
Growth 5yr Consensus Est,0.11059956268724083
Growth 5yr Actual/Est,0.10955985944160213
Growth 3yr Historic,0.06368795223930973
