,Industry,LYV,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",67.57,,Valuation,
Price/Sales (TTM),7.74,0.73,Valuation,0.09431524547803617
Price/Book (MRQ),11.0,7.34,Valuation,0.6672727272727272
"PEG Ratio (TTM, GAAP)",1.47,,Valuation,
Gross Profit Margin (TTM),0.4175,0.2668,Profitability,0.6390419161676647
Operating Profit Margin (TTM),0.07,0.0281,Profitability,0.4014285714285714
Net Profit Margin (TTM),0.030699999999999998,0.0102,Profitability,0.33224755700325737
Annual Dividend Yield,0.001,,Dividend,
Dividend Change %,0.0263,,Dividend,
"Dividend Growth Rate, 3 Years",0.0351,,Dividend,
EPS Growth (MRQ),-0.177,-2.2391,Gowth rates,12.650282485875707
EPS Growth (TTM),-0.4598,0.4283,Gowth rates,-0.9314919530230535
Revenue Growth (MRQ),0.2641,-0.2343,Gowth rates,-0.8871639530480878
Revenue Growth (TTM),0.2943,0.0705,Gowth rates,0.23955147808358815
Return On Equity (TTM),-0.0116,-0.0043,Effectiveness,0.3706896551724138
Return On Assets (TTM),0.0339,0.0121,Effectiveness,0.35693215339233036
Return On Investment (TTM),0.0291,0.023,Effectiveness,0.7903780068728522
Revenue Per Employee (TTM),1068590.0,1099807.0,Effectiveness,1.0292132623363497
Total Debt/Total Capital (MRQ),0.42,0.6336,Financial strength,1.5085714285714287
Change in Debt/Total Capital Quarter over Quarter,0.0005,-0.0009,Financial strength,-1.7999999999999998
Quick Ratio (MRQ),0.49,,Financial strength,
Interest Coverage (MRQ),6.02,-1.67,Financial strength,-0.27740863787375414
