,DOV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.85,16.14,Valuation,1.1059479553903346
Price/Sales (TTM),1.85,1.91,Valuation,0.968586387434555
Price/Book (MRQ),4.4,5.29,Valuation,0.8317580340264651
"PEG Ratio (TTM, GAAP)",2.48,8.4,Valuation,0.29523809523809524
Gross Profit Margin (TTM),0.37060000000000004,0.34020000000000006,Profitability,1.0893592004703114
Operating Profit Margin (TTM),0.1436,0.1399,Profitability,1.0264474624731952
Net Profit Margin (TTM),0.1059,0.09820000000000001,Profitability,1.0784114052953155
Annual Dividend Yield,0.0215,0.021,Dividend,1.0238095238095237
Dividend Change %,0.0211,0.10779999999999999,Dividend,0.19573283858998147
"Dividend Growth Rate, 3 Years",0.0409,0.0852,Dividend,0.4800469483568075
EPS Growth (MRQ),0.0559,1.5424000000000002,Gowth rates,0.036242219917012444
EPS Growth (TTM),0.30820000000000003,0.0192,Gowth rates,16.052083333333336
Revenue Growth (MRQ),-0.0674,-0.0643,Gowth rates,1.0482115085536547
Revenue Growth (TTM),-0.0016,0.0195,Gowth rates,-0.08205128205128205
Return On Equity (TTM),0.25730000000000003,0.2865,Effectiveness,0.8980802792321119
Return On Assets (TTM),0.085,0.0765,Effectiveness,1.1111111111111112
Return On Investment (TTM),0.1104,0.1033,Effectiveness,1.0687318489835431
Revenue Per Employee (TTM),294483.0,385966.0,Effectiveness,0.7629765316115927
Total Debt/Total Capital (MRQ),0.5374,0.547,Financial strength,0.9824497257769652
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0009,Financial strength,0.22222222222222224
Quick Ratio (MRQ),0.89,1.45,Financial strength,0.6137931034482759
Interest Coverage (MRQ),8.92,7.34,Financial strength,1.215258855585831
