,CTSH
% Below High,0.2003
% Held by Institutions,0.9331999999999999
52-Wk Range,['40.01 - 71.48']
Annual Dividend $,0.88
Annual Dividend %,0.015
Ask,57.56
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,55.02
Bid Size,200.0
Closing Price,57.16
Day Change $,-1.6
Day Change %,-0.027200000000000002
Day High,57.56
Day Low,54.24
Dividend Pay Date,2020-02-28 00:00:00
"EPS (TTM, GAAP)",3.19
Ex-dividend,2020-02-14 00:00:00
Ex-dividend Date,02/14/20
Historical Volatility,0.441
Last (size),20.0
Last (time),4:00p ET 05/08/20
Market Cap,30.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.4
Prev Close,58.76
Short Interest,0.016
Today's Open,55.0
Volume,7785161.0
Volume 10-day Avg,4139471.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,-0.2202531645569621
Growth 1yr High Est,0.035175879396984966
Growth 1yr Consensus Est,-0.09253864257998856
Growth 2yr Low Est,-0.050061647213546
Growth 2yr High Est,0.08797628921305556
Growth 2yr Consensus Est,0.01895732099975478
Growth 5yr Low Est,-0.0073200797487047164
Growth 5yr High Est,0.06662707603011844
Growth 5yr Consensus Est,0.029653498140706863
Growth 5yr Actual/Est,0.025213039885513572
Growth 3yr Historic,0.021321732670106647
Price/Earnings (TTM),18.39976
Price/Sales (TTM),1.88143
Price/Book (MRQ),2.9953
Price/Cash Flow (TTM),13.51144
5yr Low,40.01
5yr High,85.1
5yr Avg Return,-0.0069666666666666635
EPS Growth 5yr,0.069576
Revenue Growth 5yr,0.10337149999999999
Dividend Growth 5yr,
Short Int Current Month,8772380.0
Short Int Prev Month,8661710.0
Short Int Pct of Float,0.0160354
Days to Cover,2.04232
Float,535.6455
Shares Outstanding,541.0555
Institutions Holding Shares,1257.0
FCF Growth 5yr,0.055146384708751904
"Price/Earnings (TTM, GAAP)",18.4
"PEG Ratio (TTM, GAAP)",3.26
Gross Profit Margin (TTM),0.36090000000000005
Operating Profit Margin (TTM),0.1475
Net Profit Margin (TTM),0.1081
Annual Dividend Yield,0.015
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.062400000000000004
EPS Growth (TTM),-0.0808
Revenue Growth (MRQ),-0.0138
Revenue Growth (TTM),0.0352
Return On Equity (TTM),0.16260000000000002
Return On Assets (TTM),0.109
Return On Investment (TTM),0.1308
Revenue Per Employee (TTM),57771.0
Total Debt/Total Capital (MRQ),0.1887
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.55
newConstructs,1
researchTeam,hold
theStreet,hold
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2020-03-20 00:00:00
cfra since,2020-02-07 00:00:00
ford since,2019-10-25 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-09-23 00:00:00
