,DAL
% Above Low,0.1895
% Held by Institutions,0.8351999999999999
52-Wk Range,['19.10 - 63.44']
Annual Dividend $,
Annual Dividend %,
Ask,22.58
Ask Size,100.0
B/A Ratio,39.0
B/A Size,3900x100
Beta,1.3
Bid,22.53
Bid Size,3900.0
Change Since Close,-0.17| |(-0.75%)
Closing Price,22.72
Day Change $,1.04
Day Change %,0.048
Day High,22.92
Day Low,22.05
Dividend Pay Date,03/12/20
"EPS (TTM, GAAP)",5.39
Ex-dividend Date,02/19/20
Historical Volatility,0.643
Last (size),5.0
Last (time),6:30p ET 05/08/20
Last Trade,22.55
Market Cap,14.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.02
Prev Close,21.68
Short Interest,0.035699999999999996
Today's Open,22.36
Volume,43366769.0
Volume 10-day Avg,59575360.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-09 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-2.5647058823529414
Growth 1yr High Est,-1.2521008403361344
Growth 1yr Consensus Est,-1.908403361344538
Growth 2yr Low Est,-1.8368642193719595
Growth 2yr High Est,-3.1371615312791783
Growth 2yr Consensus Est,-2.487012875325569
Growth 5yr Low Est,-0.8237744333374319
Growth 5yr High Est,-1.489454394245847
Growth 5yr Consensus Est,-1.1566144137916394
Growth 5yr Actual/Est,-0.7581744631760767
Growth 3yr Historic,0.10996248362024086
Price/Earnings (TTM),4.02453
Price/Sales (TTM),0.30643
Price/Book (MRQ),0.9664
Price/Cash Flow (TTM),2.2503
5yr Low,19.1
5yr High,63.44
5yr Avg Return,-0.05166666666666668
EPS Growth 5yr,0.5640866
Revenue Growth 5yr,0.0309509
Dividend Growth 5yr,
Short Int Current Month,22743572.0
Short Int Prev Month,25008916.0
Short Int Pct of Float,0.035682399999999996
Days to Cover,0.35829
Float,635.408
Shares Outstanding,637.8261
Institutions Holding Shares,1390.0
FCF Growth 5yr,0.11687257688009281
"Price/Earnings (TTM, GAAP)",4.02
"PEG Ratio (TTM, GAAP)",1.04
Gross Profit Margin (TTM),0.5353
Operating Profit Margin (TTM),0.115
Net Profit Margin (TTM),0.0776
Annual Dividend Yield,
Dividend Change %,0.1489
"Dividend Growth Rate, 3 Years",0.3064
EPS Growth (MRQ),-1.4916999999999998
EPS Growth (TTM),-0.10070000000000001
Revenue Growth (MRQ),-0.2489
Revenue Growth (TTM),0.0040999999999999995
Return On Equity (TTM),0.25730000000000003
Return On Assets (TTM),0.0536
Return On Investment (TTM),0.0779
Revenue Per Employee (TTM),494683.0
Total Debt/Total Capital (MRQ),0.543
Change in Debt/Total Capital Quarter over Quarter,0.0042
Quick Ratio (MRQ),0.48
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
cfra,3
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
cfra since,2020-02-28 00:00:00
theStreet since,2020-03-18 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-11-19 00:00:00
