,AGN
% Below High,0.0455
% Held by Institutions,0.8534
52-Wk Range,['114.27 - 202.22']
Annual Dividend $,2.96
Annual Dividend %,0.015300000000000001
Ask,194.0
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,1.2
Bid,193.02
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,193.02
Day Change $,0.03
Day Change %,0.0002
Day High,193.38
Day Low,191.64
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",-7.59
Ex-dividend,2020-04-15 00:00:00
Ex-dividend Date,04/15/20
Historical Volatility,0.325
Last (size),17.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,63.7B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,192.99
Short Interest,0.045700000000000005
Today's Open,193.01
Volume,12442653.0
Volume 10-day Avg,4920869.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.20722891566265067
Growth 1yr High Est,0.03060046189376453
Growth 1yr Consensus Est,-0.08831422688444307
Growth 2yr Low Est,-0.029906251144395213
Growth 2yr High Est,0.0561965894902996
Growth 2yr Consensus Est,0.013145169172952192
Growth 5yr Low Est,-0.007862306934782376
Growth 5yr High Est,0.04272348519158908
Growth 5yr Consensus Est,0.017430589128403354
Growth 5yr Actual/Est,0.023040029100520887
Growth 3yr Historic,0.019428854649362448
Price/Earnings (TTM),
Price/Sales (TTM),3.95382
Price/Book (MRQ),1.09709
Price/Cash Flow (TTM),17.63605
5yr Low,114.27
5yr High,340.34
5yr Avg Return,-0.04363333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.2803275
Dividend Growth 5yr,
Short Int Current Month,15005418.0
Short Int Prev Month,12486687.0
Short Int Pct of Float,0.045709299999999994
Days to Cover,4.18905
Float,329.2517
Shares Outstanding,329.7655
Institutions Holding Shares,1273.0
FCF Growth 5yr,0.6381316223198686
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8394
Operating Profit Margin (TTM),-0.2134
Net Profit Margin (TTM),-0.154
Annual Dividend Yield,0.015300000000000001
Dividend Change %,0.0278
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.1780000000000004
EPS Growth (TTM),0.649
Revenue Growth (MRQ),-0.1716
Revenue Growth (TTM),0.0244
Return On Equity (TTM),-0.041600000000000005
Return On Assets (TTM),-0.026600000000000002
Return On Investment (TTM),-0.0291
Revenue Per Employee (TTM),925069.0
Total Debt/Total Capital (MRQ),0.252
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.84
Interest Coverage (MRQ),-0.74
newConstructs,4
researchTeam,hold
theStreet,hold
cfra,
ford,2
marketEdge opinion,neutralfromlong
marketEdge,-1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
theStreet since,2019-07-15 00:00:00
cfra since,
ford since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
